Household Income (I),Household Size (S) (persons),Rainfall (R) (mm/day),Temperature (T) (°C),Travel Time (t) (minutes),Amount Spent (A),Willingness To Pay (W),Shortest Distance (d) (meters),Height Difference (h) (meters),,
40000,7,2,29.1,22,360,410,310.11,1,,
60000,6,2,29.1,8,600,450,233.14,3,,
50000,7,2,29.1,13,450,500,187.78,3,,
50000,7,2,29.1,38,285,330,308.1,5,,
90000,9,2,29.1,88,165,210,344.48,4,,
55000,6,2,29.1,22,360,410,339.53,0,,
55000,6,2,29.1,22,360,410,304.31,1,,
55000,8,2,29.1,42,285,330,204.79,3,,
55000,9,2,29.1,88,210,260,290.72,6,,
55000,7,2,29.1,13,450,500,132.7,3,,
55000,6,2,29.1,8,600,450,121.75,1,,
55000,7,2,29.1,22,360,410,195.01,3,,
55000,7,2,29.1,22,360,410,149.6,0,,
60000,6,2,29.1,42,285,330,410.67,5,,
85000,9,2,29.1,82,165,210,320.65,6,,
90000,9,2,29.1,92,90,140,406.23,9,,
100000,7,2,29.1,82,165,210,546.36,7,,
55000,6,2,29.1,8,765,280,60.21,2,,
65000,8,2,29.1,22,405,450,73.35,3,,
85000,6,2,29.1,13,600,450,113.15,6,,
105000,7,2,29.1,8,570,280,81.22,4,,
75000,7,2,29.1,8,570,280,80.75,3,,
90000,9,2,29.1,38,285,330,229.03,6,,
55000,6,2,29.1,38,285,330,471.35,10,,
70000,8,2,29.1,82,120,170,390.93,5,,
70000,8,2,29.1,82,120,170,429.75,11,,
40000,7,2,29.1,42,285,330,312.82,3,,
55000,7,2,29.1,42,285,330,319.86,10,,
70000,8,2,29.1,82,120,170,481.27,8,,
80000,7,2,29.1,82,210,260,373.61,7,,
75000,7,2,29.1,13,450,500,152.08,2,,
105000,7,2,29.1,22,405,450,178.19,7,,
80000,7,2,29.1,22,405,450,240.05,8,,
95000,8,2,29.1,38,285,330,262.49,6,,
70000,8,2,29.1,82,165,210,394.87,9,,
50000,7,2,29.1,42,210,260,365.17,1,,
65000,8,2,29.1,22,360,410,183.36,4,,
95000,9,2,29.1,42,285,330,227.27,5,,
90000,9,2,29.1,48,240,290,253.12,4,,
95000,6,2,29.1,8,765,280,86.93,0,,
45000,6,2,29.1,8,720,380,90.43,5,,
60000,6,2,29.1,8,600,450,174.18,4,,
80000,7,2,29.1,13,450,500,217.86,9,,
85000,9,2,29.1,42,240,290,280.06,11,,
60000,6,2,29.1,8,570,280,168.05,1,,
85000,6,2,29.1,22,360,410,336.01,7,,
60000,6,2,29.1,42,285,330,391.66,11,,
60000,6,2,29.1,42,285,330,470.12,7,,
60000,6,2,29.1,62,210,260,505.18,5,,
60000,8,2,29.1,92,90,140,523.07,4,,
60000,7,2,29.1,82,165,210,419,12,,
60000,8,2,29.1,72,120,170,507.63,17,,
60000,8,2,29.1,82,165,210,348.3,8,,
60000,7,2,29.1,48,240,290,345.61,2,,
65000,8,2,29.1,42,285,330,274.9,1,,
65000,8,2,29.1,22,360,410,167.6,3,,
95000,9,2,29.1,48,240,290,292.36,3,,
95000,9,2,29.1,82,120,170,383.94,5,,
95000,9,2,29.1,82,120,170,357.19,12,,
70000,8,2,29.1,42,285,330,291.78,6,,
70000,7,2,29.1,62,210,260,367.35,8,,
65000,8,2,29.1,82,165,210,253.65,6,,
90000,9,2,29.1,72,120,170,281.83,3,,
90000,9,2,29.1,82,120,170,273.75,5,,
40000,7,2,29.1,82,165,210,300.83,10,,
105000,7,2,29.1,82,165,210,349.21,5,,
40000,7,2,29.1,82,120,170,426.48,4,,
80000,7,2,29.1,72,120,170,429.36,4,,
95000,6,2,29.1,48,210,260,392.21,12,,
50000,7,2,29.1,82,165,210,342.53,4,,
45000,7,2,29.1,82,120,170,391.09,10,,
40000,7,2,29.1,48,210,260,278.71,0,,
90000,9,2,29.1,82,120,170,212.95,5,,
45000,6,2,29.1,42,285,330,278.63,5,,
60000,9,2,29.1,82,120,170,323.54,4,,
45000,6,2,29.1,42,285,330,421.23,8,,
45000,9,2,29.1,82,120,170,345.01,6,,
60000,7,2,29.1,42,240,290,308.52,4,,
105000,7,2,29.1,8,645,400,401.4,8,,
55000,6,2,29.1,48,285,330,326.7,8,,
50000,7,2,29.1,82,165,210,417.54,9,,
105000,7,2,29.1,8,645,400,127,3,,
50000,7,2,29.1,82,165,210,36.24,1,,
70000,8,2,29.1,82,165,210,103.09,2,,
40000,7,2,29.1,88,120,170,189.31,6,,
80000,7,2,29.1,48,285,330,200.46,5,,
90000,9,2,29.1,13,405,450,175.82,5,,
100000,6,2,29.1,22,840,550,94.83,0,,
55000,6,2,29.1,38,285,330,50.16,2,,
50000,7,2,29.1,38,285,330,83.76,2,,
80000,7,2,29.1,38,285,330,57.94,0,,
80000,9,2,29.1,32,330,380,131.03,1,,
80000,6,2,29.1,8,765,280,143.89,3,,
80000,6,2,29.1,38,285,330,167.29,6,,
80000,7,2,29.1,38,285,330,124.33,2,,
80000,8,2,29.1,82,165,210,64.5,2,,
80000,9,2,29.1,32,330,380,23,1,,
80000,8,2,29.1,82,165,210,136.74,0,,
60000,6,2,29.1,38,285,330,224.61,1,,
60000,6,2,29.1,38,285,330,434.95,8,,
105000,9,2,29.1,32,330,380,446.16,1,,
95000,9,2,29.1,32,330,380,586.78,5,,
45000,6,2,29.1,38,285,330,485.49,3,,
45000,6,2,29.1,38,285,330,137.41,0,,
50000,9,2,29.1,72,120,170,207.52,1,,
105000,7,2,29.1,8,645,400,148.22,0,,
100000,6,2,29.1,8,720,380,135.03,3,,
65000,8,2,29.1,13,450,500,234.05,4,,
100000,7,2,29.1,38,285,330,85.23,1,,
105000,9,2,29.1,32,330,380,154.39,3,,
40000,7,2,29.1,82,120,170,254.33,7,,
80000,7,2,29.1,38,285,330,245.8,7,,
105000,9,2,29.1,22,360,410,254.47,5,,
65000,8,2,29.1,82,165,210,327.07,3,,
65000,8,2,29.1,82,165,210,308.87,2,,
65000,8,2,29.1,13,450,500,364.97,4,,
65000,9,2,29.1,32,330,380,382.93,4,,
65000,7,2,29.1,82,165,210,339.04,2,,
65000,6,2,29.1,38,285,330,234.48,3,,
65000,9,2,29.1,32,330,380,92.02,2,,
65000,7,2,29.1,38,285,330,156.32,3,,
100000,9,2,29.1,32,330,380,71.17,1,,
55000,9,2,29.1,18,360,410,155.79,8,,
100000,9,2,29.1,18,360,410,89.84,3,,
75000,7,2,29.1,32,285,330,137.75,4,,
80000,7,2,29.1,32,285,330,180.25,4,,
105000,9,2,29.1,32,330,380,259.33,8,,
95000,9,2,29.1,22,360,410,336.03,9,,
75000,7,2,29.1,38,285,330,106.98,0,,
40000,7,2,29.1,72,120,170,211.48,6,,
70000,9,2,29.1,22,360,410,322.91,13,,
40000,7,2,29.1,72,120,170,297.43,4,,
70000,8,2,29.1,82,165,210,375.95,6,,
105000,9,2,29.1,32,330,380,252.17,3,,
50000,7,2,29.1,82,165,210,406.12,8,,
65000,8,2,29.1,48,165,210,418.08,8,,
95000,9,2,29.1,42,330,380,378.08,13,,
40000,6,2,29.1,42,285,330,388.6,5,,
70000,8,2,29.1,82,165,210,644.24,3,,
70000,9,2,29.1,32,330,380,619.08,0,,
70000,9,2,29.1,62,210,260,421.46,5,,
70000,9,2,29.1,38,330,380,538.35,4,,
70000,9,2,29.1,22,360,410,531.98,9,,
70000,7,2,29.1,18,450,500,616.76,6,,
70000,8,2,29.1,42,165,210,736.77,1,,
45000,6,2,29.1,42,285,330,640.86,15,,
50000,7,2,29.1,48,165,210,401.31,15,,
100000,6,2,29.1,8,690,500,434.63,8,,
40000,7,2,29.1,82,120,170,393.39,11,,
70000,8,2,29.1,42,165,210,428.78,9,,
50000,7,2,29.1,82,210,260,416.48,7,,
50000,7,2,29.1,82,165,210,482.9,13,,
50000,7,2,29.1,48,165,210,515.38,16,,
45000,6,2,29.1,42,285,330,644.1,16,,
105000,6,2,29.1,8,690,500,560.29,14,,
85000,9,2,29.1,18,360,410,507.99,10,,
65000,8,2,29.1,42,165,210,39.96,1,,
60000,6,2,29.1,42,285,330,84.58,2,,
60000,7,2,29.1,32,285,330,130.18,2,,
60000,8,2,29.1,62,120,170,108.71,2,,
60000,9,2,29.1,18,360,410,53.85,5,,
60000,7,2,29.1,48,165,210,105.65,9,,
60000,7,2,29.1,48,165,210,162.2,12,,
60000,6,2,29.1,42,285,330,86.03,2,,
85000,9,2,29.1,18,360,410,171.35,7,,
55000,9,2,29.1,18,360,410,173.42,4,,
100000,9,2,29.1,18,360,410,194.1,2,,
60000,6,2,29.1,42,285,330,241.66,7,,
90000,9,2,29.1,18,360,410,279.87,9,,
60000,6,2,29.1,32,285,330,194,5,,
105000,9,2,29.1,32,330,380,258.7,8,,
55000,9,2,29.1,32,330,380,189.74,5,,
90000,9,2,29.1,38,330,380,80.6,1,,
40000,6,2,29.1,42,285,330,35.13,1,,
45000,6,2,29.1,42,285,330,110.32,1,,
45000,9,2,29.1,38,330,380,115.52,1,,
45000,7,2,29.1,32,285,330,165.68,4,,
45000,7,2,29.1,62,120,170,263.22,2,,
45000,7,2,29.1,8,525,480,312.29,4,,
45000,9,2,29.1,82,210,260,249.01,2,,
55000,6,2,29.1,62,210,260,259.12,3,,
70000,8,2,29.1,42,165,210,200.08,4,,
75000,7,2,29.1,92,165,210,150.44,7,,
60000,6,2,29.1,42,285,330,78.64,5,,
70000,8,2,29.1,42,165,210,244.14,2,,
95000,9,2,29.1,18,360,410,269.22,0,,
95000,7,2,29.1,32,285,330,282.78,14,,
95000,7,2,29.1,32,285,330,339.24,0,,
40000,7,2,29.1,72,120,170,320.98,15,,
60000,6,2,29.1,42,285,330,299.29,0,,
65000,8,2,29.1,82,165,210,300.2,8,,
40000,7,2,29.1,82,120,170,282.4,2,,
70000,8,2,29.1,82,165,210,254.61,2,,
80000,7,2,29.1,42,285,330,275.15,4,,
45000,6,2,29.1,42,285,330,210.09,3,,
50000,7,2,29.1,82,165,210,217.52,5,,
105000,7,2,29.1,18,570,280,329.16,10,,
105000,7,2,29.1,32,285,330,251.48,2,,
105000,6,2,29.1,42,285,330,196.02,4,,
85000,9,2,29.1,18,360,410,175.97,1,,
85000,9,2,29.1,18,360,410,208.24,1,,
85000,9,2,29.1,18,405,450,150.44,3,,
85000,9,2,29.1,18,360,410,138.22,2,,
70000,9,2,29.1,18,405,450,246.66,1,,
70000,7,2,29.1,82,120,170,180.4,1,,
70000,8,2,29.1,82,165,210,261.02,10,,
70000,6,2,29.1,42,285,330,205.64,8,,
85000,9,2,29.1,18,360,410,222.65,1,,
95000,6,2,29.1,42,285,330,148.82,2,,
50000,7,2,29.1,82,165,210,162.56,1,,
95000,9,2,29.1,92,90,140,103.35,4,,
90000,9,2,29.1,32,330,380,155.94,8,,
50000,7,2,29.1,82,165,210,116.47,4,,
95000,8,2,29.1,48,165,210,113.22,3,,
80000,7,2,29.1,32,285,330,89.55,1,,
100000,7,2,29.1,8,645,400,114.79,2,,
100000,6,2,29.1,38,285,330,159.67,2,,
50000,7,2,29.1,82,165,210,81.34,0,,
85000,9,2,29.1,82,210,260,52.63,1,,
70000,8,2,29.1,82,165,210,40.61,0,,
70000,7,2,29.1,42,285,330,84.6,5,,
70000,9,2,29.1,32,330,380,105.91,6,,
70000,7,2,29.1,42,285,330,156.04,7,,
45000,9,2,29.1,82,120,170,167.72,4,,
65000,8,2,29.1,82,165,210,60.78,1,,
95000,9,2,29.1,22,360,410,118.36,1,,
45000,8,2,29.1,82,120,170,91.92,2,,
90000,6,2,29.1,42,285,330,111.83,7,,
45000,9,2,29.1,18,405,450,84.58,1,,
60000,7,2,29.1,82,210,260,126.04,3,,
75000,7,2,29.1,32,285,330,130,7,,
80000,7,2,29.1,32,285,330,26.4,1,,
75000,7,2,29.1,38,285,330,65.07,7,,
70000,8,2,29.1,82,165,210,45.22,4,,
65000,8,2,29.1,82,165,210,149.01,2,,
50000,9,2,29.1,18,360,410,189.69,14,,
40000,7,2,29.1,62,120,170,92.72,2,,
90000,7,2,29.1,8,525,480,83.2,3,,
65000,8,2,29.1,42,165,210,134.63,7,,
95000,8,2,29.1,72,120,170,174.87,4,,
90000,9,2,29.1,13,360,410,147.41,4,,
90000,7,2,29.1,72,120,170,10.05,1,,
90000,9,2,29.1,32,330,380,51.01,1,,
90000,9,2,29.1,32,330,380,97.35,1,,
90000,7,2,29.1,88,210,260,113.16,0,,
90000,7,2,29.1,82,120,170,144.26,1,,
40000,7,2,29.1,82,120,170,146.7,3,,
90000,9,2,29.1,22,360,410,35.74,2,,
95000,9,2,29.1,22,360,410,40.8,2,,
55000,6,2,29.1,42,285,330,73.41,3,,
60000,8,2,29.1,82,165,210,111.36,3,,
75000,7,2,29.1,32,285,330,34.13,1,,
50000,7,2,29.1,82,165,210,64.03,1,,
80000,7,2,29.1,42,285,330,86.21,1,,
40000,8,2,29.1,82,165,210,92.27,4,,
40000,7,2,29.1,82,120,170,106.78,3,,
95000,9,2,29.1,22,360,410,205.64,5,,
55000,6,2,29.1,38,285,330,296.2,8,,
75000,7,2,29.1,38,285,330,325.53,7,,
45000,6,2,29.1,38,285,330,310.64,6,,
75000,7,2,29.1,38,285,330,254.26,5,,
85000,6,2,29.1,38,285,330,255.38,8,,
65000,8,2,29.1,13,405,450,262.15,7,,
65000,8,2,29.1,82,165,210,171.29,3,,
65000,7,2,29.1,42,285,330,200.86,6,,
65000,7,2,29.1,42,285,330,104.24,4,,
65000,6,2,29.1,42,285,330,170.66,4,,
75000,7,2,29.1,48,285,330,45.49,1,,
105000,8,2,29.1,13,450,500,112.22,1,,
70000,8,2,29.1,82,165,210,104.62,2,,
95000,9,2,29.1,32,330,380,164.08,2,,
65000,8,2,29.1,82,165,210,176.85,7,,
55000,6,2,29.1,42,285,330,99.46,5,,
65000,8,2,29.1,82,165,210,223.52,7,,
85000,9,2,29.1,32,330,380,260.76,5,,
50000,7,2,29.1,82,165,210,277.42,4,,
105000,8,2,29.1,82,165,210,202.94,4,,
95000,9,2,29.1,22,360,410,126.62,4,,
80000,7,2,29.1,32,285,330,60.96,0,,
80000,7,2,29.1,32,285,330,89.68,5,,
95000,9,2,29.1,18,360,410,151.43,4,,
70000,8,2,29.1,82,165,210,100.09,0,,
50000,7,2,29.1,82,165,210,43.17,1,,
80000,9,2,29.1,32,330,380,131.14,0,,
105000,7,2,29.1,8,570,280,180.94,4,,
70000,8,2,29.1,42,165,210,132.26,1,,
80000,7,2,29.1,32,285,330,205.3,2,,
45000,6,2,29.1,42,285,330,239.78,12,,
45000,6,2,29.1,42,285,330,169,12,,
80000,6,2,29.1,42,285,330,38.83,0,,
85000,9,2,29.1,32,330,380,88.24,1,,
45000,6,2,29.1,42,285,330,166.37,3,,
105000,6,2,29.1,8,765,280,202.81,5,,
50000,7,2,29.1,88,165,210,253.16,4,,
50000,7,2,29.1,88,165,210,322.1,3,,
55000,6,2,29.1,38,285,330,237.89,0,,
55000,6,2,29.1,42,285,330,132.85,0,,
65000,8,2,29.1,42,165,210,283.73,4,,
80000,6,2,29.1,42,285,330,268.2,8,,
50000,7,2,29.1,88,165,210,234.4,5,,
50000,7,2,29.1,88,165,210,255.34,9,,
45000,6,2,29.1,42,285,330,245.6,2,,
105000,6,2,29.1,8,450,500,278.26,7,,
105000,9,2,29.1,18,360,410,158.45,8,,
65000,8,2,29.1,42,165,210,60.27,6,,
100000,9,2,29.1,32,330,380,268.88,2,,
100000,7,2,29.1,62,120,170,367.14,1,,
100000,7,2,29.1,62,120,170,322.61,1,,
100000,6,2,29.1,42,285,330,276.59,1,,
90000,9,2,29.1,32,330,380,193.02,3,,
50000,8,2,29.1,88,165,210,170.06,7,,
70000,8,2,29.1,42,165,210,92.42,3,,
55000,6,2,29.1,42,285,330,217.86,6,,
55000,9,2,29.1,32,330,380,208.2,3,,
105000,9,2,29.1,72,210,260,354.35,0,,
90000,9,2,29.1,72,210,260,340.07,9,,
85000,6,2,29.1,42,285,330,259.7,7,,
65000,8,2,29.1,82,165,210,257.74,6,,
65000,8,2,29.1,82,165,210,174.89,4,,
45000,6,2,29.1,42,285,330,308.3,5,,
60000,6,2,29.1,42,285,330,274.15,10,,
60000,6,2,29.1,42,285,330,212.48,5,,
105000,6,2,29.1,42,285,330,117.28,4,,
100000,9,2,29.1,13,405,450,37.64,2,,
65000,8,2,29.1,82,165,210,95.52,1,,
90000,9,2,29.1,18,360,410,169.1,2,,
90000,8,2,29.1,82,165,210,278,7,,
90000,6,2,29.1,8,765,280,254.75,4,,
90000,7,2,29.1,32,285,330,346.9,5,,
90000,7,2,29.1,88,165,210,417,9,,
50000,7,2,29.1,88,165,210,405.19,12,,
90000,9,2,29.1,18,405,450,413.7,6,,
40000,7,2,29.1,62,120,170,349.95,6,,
80000,7,2,29.1,32,285,330,202.08,4,,
50000,7,2,29.1,88,165,210,294.33,5,,
60000,6,2,29.1,42,285,330,424.84,3,,
105000,6,2,29.1,8,720,380,52.4,0,,
55000,6,2,29.1,8,765,280,196.73,1,,
75000,8,2,29.1,42,165,210,278.23,0,,
70000,8,2,29.1,42,165,210,171.01,7,,
70000,8,2,29.1,42,165,210,102.96,7,,
60000,6,2,29.1,42,285,330,91.55,1,,
50000,7,2,29.1,88,165,210,98.68,2,,
50000,7,2,29.1,88,165,210,258.05,1,,
95000,9,2,29.1,8,405,450,187.95,1,,
60000,7,2,29.1,42,285,330,227.38,6,,
100000,7,2,29.1,7,570,280,167.24,3,,
100000,9,2,29.1,17,360,410,190.38,5,,
100000,9,2,29.1,32,330,380,88.57,4,,
100000,9,2,29.1,72,210,260,60.77,0,,
100000,6,2,29.1,42,285,330,200.83,8,,
100000,9,2,29.1,32,330,380,205.06,8,,
40000,9,2,29.1,17,360,410,158.38,7,,
100000,6,2,29.1,7,360,410,150.12,5,,
40000,7,2,29.1,82,120,170,38.08,0,,
105000,9,2,29.1,17,405,450,103.58,2,,
100000,6,2,29.1,7,765,280,312.75,9,,
105000,9,2,29.1,32,330,380,236.03,0,,
45000,6,2,29.1,42,285,330,278.79,0,,
105000,8,2,29.1,72,165,210,166.71,0,,
40000,7,2,29.1,72,120,170,227.27,2,,
75000,7,2,29.1,42,285,330,281.37,7,,
40000,7,2,29.1,82,120,170,279.51,5,,
70000,8,2,29.1,72,165,210,156.26,8,,
45000,6,2,29.1,42,285,330,244.44,2,,
85000,9,2,29.1,17,405,450,317.65,5,,
65000,8,2,29.1,72,165,210,317.83,12,,
65000,8,2,29.1,72,165,210,343.01,12,,
75000,7,2,29.1,42,285,330,394.97,9,,
90000,9,2,29.1,17,360,410,324.3,7,,
90000,9,2,29.1,17,360,410,343.83,9,,
90000,7,2,29.1,42,285,330,349.26,6,,
90000,7,2,29.1,7,570,280,375.37,10,,
90000,9,2,29.1,17,360,410,90.67,8,,
90000,6,2,29.1,42,285,330,149.16,5,,
75000,7,2,29.1,32,285,330,119,9,,
100000,7,2,29.1,7,645,400,223.45,10,,
70000,8,2,29.1,72,165,210,247,2,,
95000,9,2,29.1,17,360,410,111.14,1,,
60000,6,2,29.1,37,285,330,163.23,2,,
70000,9,2,29.1,32,330,380,159.89,3,,
75000,7,2,29.1,42,285,330,281.17,9,,
80000,7,2,29.1,42,150,200,81.27,1,,
75000,7,2,29.1,42,350,400,199.46,6,,
105000,6,2,29.1,7,550,450,149.69,4,,
45000,6,2,29.1,42,285,330,223.37,5,,
45000,9,2,29.1,92,285,330,295.1,6,,
45000,7,2,29.1,82,120,170,336.15,15,,
45000,7,2,29.1,7,360,410,320.33,13,,
45000,7,2,29.1,42,285,330,272.39,3,,
50000,7,2,29.1,82,120,170,256.01,14,,
75000,7,2,29.1,42,350,400,188.49,6,,
80000,9,2,29.1,17,405,450,109.07,3,,
105000,6,2,29.1,62,210,260,144.25,0,,
75000,7,2,29.1,32,285,330,63.81,1,,
90000,9,2,29.1,17,360,410,67.54,1,,
85000,9,2,29.1,17,405,450,38.83,1,,
45000,6,2,29.1,42,285,330,96.02,3,,
100000,6,2,29.1,42,150,200,188.74,16,,
50000,7,2,29.1,82,120,170,146.25,6,,
65000,8,2,29.1,72,165,210,179.51,2,,
75000,7,2,29.1,42,285,330,139.04,1,,
75000,7,2,29.1,37,280,330,243.4,10,,
75000,7,2,29.1,37,285,330,71.03,0,,
75000,9,2,29.1,17,200,250,115.97,3,,
75000,7,2,29.1,72,120,170,187,12,,
75000,6,2,29.1,37,150,200,107.84,7,,
40000,7,2,29.1,72,120,170,131.32,5,,
55000,6,2,29.1,37,285,330,201.23,6,,
100000,7,2,29.1,22,360,410,214.7,11,,
45000,6,2,29.1,37,285,330,272.03,17,,
45000,9,2,29.1,47,210,260,419.31,26,,
40000,7,2,29.1,72,120,170,405.05,27,,
55000,6,2,29.1,42,285,330,792.91,37,,
95000,9,2,29.1,47,210,260,648.04,25,,
50000,7,2,29.1,72,120,170,569.08,25,,
60000,6,2,29.1,37,285,330,494.01,19,,
60000,9,2,29.1,47,210,260,465.7,19,,
85000,9,2,29.1,47,210,260,611.74,23,,
105000,6,2,29.1,32,330,380,730.95,30,,
85000,9,2,29.1,47,210,260,644.66,33,,
50000,7,2,29.1,72,120,170,475.62,24,,
100000,7,2,29.1,47,285,330,576.34,29,,
65000,8,2,29.1,72,165,210,472.02,22,,
65000,9,2,29.1,47,210,260,390.23,26,,
65000,9,2,29.1,47,210,260,328.87,26,,
65000,7,2,29.1,72,165,210,241.15,11,,
65000,7,2,29.1,72,120,170,141.82,1,,
105000,6,2,29.1,7,350,400,68.88,1,,
105000,7,2,29.1,32,330,380,129.6,3,,
95000,8,2,29.1,72,165,210,256.73,22,,
60000,6,2,29.1,42,285,330,320.25,21,,
85000,9,2,29.1,77,210,260,99.92,7,,
100000,9,2,29.1,77,210,260,349.89,6,,
70000,8,2,29.1,72,165,210,562.47,9,,
50000,7,2,29.1,72,165,210,711.4,6,,
85000,9,2,29.1,77,210,260,678.28,13,,
80000,7,2,29.1,42,285,330,801.24,21,,
80000,8,2,29.1,72,165,210,848.38,3,,
80000,9,2,29.1,77,210,260,777.41,12,,
80000,6,2,29.1,42,285,330,867.16,10,,
85000,9,2,29.1,77,210,260,818.21,12,,
55000,6,2,29.1,37,285,330,888.79,18,,
55000,7,2,29.1,37,285,330,738.36,5,,
60000,9,2,29.1,47,210,260,675.67,8,,
90000,9,2,29.1,47,210,260,636.03,1,,
45000,6,2,29.1,42,285,330,581.61,1,,
45000,6,2,29.1,42,285,330,504.73,7,,
45000,6,2,29.1,7,400,450,554.22,1,,
45000,7,2,29.1,82,120,170,476.18,3,,
45000,9,2,29.1,47,210,260,419.65,0,,
45000,8,2,29.1,72,165,210,572.07,12,,
45000,9,2,29.1,47,150,200,479.15,4,,
105000,7,2,29.1,32,330,380,353.14,5,,
95000,9,2,29.1,47,210,260,542.37,10,,
50000,7,2,29.1,72,165,210,349.41,7,,
60000,6,2,29.1,42,285,330,89.81,1,,
55000,9,2,29.1,77,210,260,127.12,3,,
40000,7,2,29.1,82,280,330,155.24,1,,
40000,7,2,29.1,82,120,170,230.2,6,,
105000,9,2,29.1,42,180,230,190.37,10,,
85000,9,2,29.1,32,330,380,195.8,3,,
100000,7,2,29.1,7,480,300,190.34,9,,
100000,9,2,29.1,37,285,330,113.44,14,,
85000,9,2,29.1,47,210,260,186.42,2,,
105000,9,2,29.1,32,330,380,82.46,2,,
50000,7,2,29.1,82,120,170,156.71,6,,
60000,6,2,29.1,42,285,330,218.08,8,,
105000,9,2,29.1,42,150,200,166.4,4,,
95000,9,2,29.1,32,330,380,133.65,1,,
85000,9,2,29.1,42,285,330,107.87,3,,
100000,9,2,29.1,32,330,380,78.26,3,,
75000,7,2,29.1,42,285,330,124.53,7,,
90000,9,2,29.1,32,200,250,127.53,4,,
45000,6,2,29.1,42,285,330,156.59,12,,
65000,8,2,29.1,12,405,450,81.02,3,,
65000,8,2,29.1,72,165,210,47.01,3,,
85000,9,2,29.1,37,285,330,77.16,3,,
105000,9,2,29.1,22,360,410,86,0,,
50000,7,2,29.1,77,165,210,170.11,10,,
50000,9,2,29.1,22,360,410,104.81,6,,
50000,7,2,29.1,72,120,170,79.16,3,,
50000,7,2,29.1,77,165,210,158.86,15,,
70000,8,2,29.1,72,165,210,113.6,5,,
100000,9,2,29.1,47,210,260,69.66,1,,
100000,9,2,29.1,47,210,260,141.43,2,,
40000,7,2,29.1,72,120,170,133.6,3,,
55000,6,2,29.1,37,285,330,182.92,9,,
40000,7,2,29.1,72,120,170,138.5,11,,
40000,6,2,29.1,37,300,350,76.58,1,,
40000,6,2,29.1,37,285,330,46.62,0,,
45000,6,2,29.1,37,180,230,114.34,3,,
75000,7,2,29.1,37,285,330,49.48,0,,
55000,6,2,29.1,37,285,330,143.54,7,,
50000,7,2,29.1,72,165,210,85.01,3,,
60000,6,2,29.1,37,200,250,156.01,9,,
45000,6,2,29.1,42,285,330,101.91,5,,
60000,6,2,29.1,37,285,330,92.89,4,,
80000,7,2,29.1,37,150,200,44.65,0,,
55000,6,2,29.1,42,285,330,105.8,0,,
70000,8,2,29.1,72,165,210,60.31,11,,
65000,8,2,29.1,72,165,210,107.28,4,,
95000,9,2,29.1,47,210,260,157.54,1,,
70000,8,2,29.1,72,165,210,200.01,4,,
105000,6,2,29.1,12,500,550,236.08,4,,
105000,7,2,29.1,32,330,380,222,1,,
60000,6,2,29.1,37,285,330,286.5,7,,
95000,9,2,29.1,47,210,260,285.95,1,,
90000,9,2,29.1,47,210,260,162.56,5,,
95000,9,2,29.1,47,100,150,256.56,6,,
95000,9,2,29.1,47,210,260,171.09,5,,
100000,9,2,29.1,47,210,260,150.36,0,,
40000,7,2,29.1,72,300,350,249.83,2,,
45000,6,2,29.1,37,285,330,325.07,5,,
70000,8,2,29.1,72,165,210,319.27,1,,
70000,8,2,29.1,72,165,210,259.12,0,,
80000,7,2,29.1,37,285,330,179.64,1,,
50000,7,2,29.1,72,165,210,277.14,1,,
75000,7,2,29.1,32,200,250,159.81,1,,
55000,6,2,29.1,42,285,330,127.14,1,,
75000,7,2,29.1,32,285,330,48.85,0,,
75000,7,2,29.1,37,150,200,101.08,2,,
75000,9,2,29.1,47,210,260,176.51,1,,
75000,7,2,29.1,32,285,330,204.13,0,,
60000,6,2,29.1,42,285,330,281.04,1,,
90000,9,2,29.1,47,210,260,252.24,2,,
100000,7,2,29.1,22,200,250,264.37,3,,
90000,9,2,29.1,47,210,260,192.21,4,,
70000,8,2,29.1,72,165,210,125.26,0,,
60000,6,2,29.1,37,285,330,129.4,2,,
85000,9,2,29.1,47,210,260,65.86,0,,
85000,6,2,29.1,37,285,330,148,2,,
85000,7,2,29.1,72,400,450,99.73,1,,
85000,8,2,29.1,72,165,210,66.21,1,,
85000,7,2,29.1,72,120,170,70.18,1,,
70000,8,2,29.1,72,165,210,124.91,8,,
40000,7,2,29.1,72,120,170,64.47,4,,
95000,9,2,29.1,47,150,200,39.6,5,,
105000,9,2,29.1,47,210,260,88.46,2,,
105000,9,2,29.1,47,210,260,121.49,2,,
90000,9,2,29.1,47,210,260,160.1,11,,
55000,6,2,29.1,37,400,450,154.95,1,,
80000,7,2,29.1,37,285,330,63.29,1,,
80000,7,2,29.1,72,165,210,53.71,5,,
80000,6,2,29.1,42,450,500,95.34,7,,
80000,9,2,29.1,47,210,260,66.07,2,,
80000,9,2,29.1,47,210,260,71.01,1,,
50000,7,2,29.1,72,165,210,87.6,1,,
90000,9,2,29.1,47,450,500,134.66,2,,
40000,7,2,29.1,72,120,170,94.43,2,,
90000,9,2,29.1,47,210,260,12.04,0,,
90000,7,2,29.1,37,350,400,19.1,2,,
90000,6,2,29.1,42,285,330,82.46,1,,
90000,7,2,29.1,72,120,170,63.89,1,,
90000,9,2,29.1,47,210,260,72.12,2,,
90000,6,2,29.1,37,285,330,124.47,2,,
