ID,Household income,Household size,Rainfall,Ave temp dry,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay,tA,Wd,td,t2,A2,W2,d2,t3,A3,W3,d3,t4,A4,W4,d4
31,40000,7,2,29.1,60,144.28,3,100,360,410,21600,59154.8,8656.8,3600,129600,168100,20816.7184,216000,46656000,68921000,3003436.131,12960000,16796160000,28257610000,433335764.9
32,40000,7,2,29.1,30,167.93,5,180,90,140,2700,23510.2,5037.9,900,8100,19600,28200.4849,27000,729000,2744000,4735707.429,810000,65610000,384160000,795267348.6
33,40000,7,2,29.1,30,67.2,4,180,210,260,6300,17472,2016,900,44100,67600,4515.84,27000,9261000,17576000,303464.448,810000,1944810000,4569760000,20392810.91
34,40000,6,2,29.1,20,93.52,5,220,120,170,2400,15898.4,1870.4,400,14400,28900,8745.9904,8000,1728000,4913000,817925.0222,160000,207360000,835210000,76492348.08
35,40000,7,2,29.1,60,102.07,5,100,120,170,7200,17351.9,6124.2,3600,14400,28900,10418.2849,216000,1728000,4913000,1063394.34,12960000,207360000,835210000,108540660.3
36,40000,8,2,29.1,40,60.88,2,160,280,330,11200,20090.4,2435.2,1600,78400,108900,3706.3744,64000,21952000,35937000,225644.0735,2560000,6146560000,11859210000,13737211.19
37,40000,6,2,29.1,20,87,0,200,240,290,4800,25230,1740,400,57600,84100,7569,8000,13824000,24389000,658503,160000,3317760000,7072810000,57289761
38,40000,7,2,29.1,30,92.91,3,180,165,210,4950,19511.1,2787.3,900,27225,44100,8632.2681,27000,4492125,9261000,802024.0292,810000,741200625,1944810000,74516052.55
39,100000,7,2,29.1,30,126.53,3,180,120,170,3600,21510.1,3795.9,900,14400,28900,16009.8409,27000,1728000,4913000,2025725.169,810000,207360000,835210000,256315005.6
40,60000,6,2,29.1,40,167.06,6,140,300,350,12000,58471,6682.4,1600,90000,122500,27909.0436,64000,27000000,42875000,4662484.824,2560000,8100000000,15006250000,778914714.7
