ID,Household income,Household size,Rainfall,Ave temp dry,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay,tA,Wd,td,t2,A2,W2,d2,t3,A3,W3,d3,t4,A4,W4,d4
304,100000,7,3.32,29.1,50,283.44,4,120,240,290,12000,82197.6,14172,2500,57600,84100,80338.2336,125000,13824000,24389000,22771068.93,6250000,3317760000,7072810000,6454231778
305,100000,7,3.32,29.1,30,269.03,4,180,240,290,7200,78018.7,8070.9,900,57600,84100,72377.1409,27000,13824000,24389000,19471622.22,810000,3317760000,7072810000,5238450525
306,100000,9,3.32,29.1,20,239.04,4,200,210,260,4200,62150.4,4780.8,400,44100,67600,57140.1216,8000,9261000,17576000,13658774.67,160000,1944810000,4569760000,3264993496
307,100000,6,3.32,29.1,40,179.36,3,140,525,480,21000,86092.8,7174.4,1600,275625,230400,32170.0096,64000,144703125,110592000,5770012.922,2560000,75969140625,53084160000,1034909518
308,70000,8,3.32,29.1,35,147.41,3,160,330,380,11550,56015.8,5159.35,1225,108900,144400,21729.7081,42875,35937000,54872000,3203176.271,1500625,11859210000,20851360000,472180214.1
309,65000,8,3.32,29.1,40,183.85,3,160,285,330,11400,60670.5,7354,1600,81225,108900,33800.8225,64000,23149125,35937000,6214281.217,2560000,6597500625,11859210000,1142495602
310,105000,7,3.32,29.1,20,216.09,4,200,360,410,7200,88596.9,4321.8,400,129600,168100,46694.8881,8000,46656000,68921000,10090298.37,160000,16796160000,28257610000,2180412575
311,100000,6,3.32,29.1,20,114.04,2,200,450,500,9000,57020,2280.8,400,202500,250000,13005.1216,8000,91125000,125000000,1483104.067,160000,41006250000,62500000000,169133187.8
312,65000,8,3.32,29.1,40,73.16,1,160,450,500,18000,36580,2926.4,1600,202500,250000,5352.3856,64000,91125000,125000000,391580.5305,2560000,41006250000,62500000000,28648031.61
313,70000,8,3.32,29.1,40,114.74,2,160,240,290,9600,33274.6,4589.6,1600,57600,84100,13165.2676,64000,13824000,24389000,1510582.804,2560000,3317760000,7072810000,173324271
314,90000,9,3.32,29.1,20,152.21,4,200,210,260,4200,39574.6,3044.2,400,44100,67600,23167.8841,8000,9261000,17576000,3526383.639,160000,1944810000,4569760000,536750853.7
315,70000,8,3.32,29.1,40,208.63,4,160,120,170,4800,35467.1,8345.2,1600,14400,28900,43526.4769,64000,1728000,4913000,9080928.876,2560000,207360000,835210000,1894554191
316,90000,9,3.32,29.1,20,147.33,3,220,240,290,4800,42725.7,2946.6,400,57600,84100,21706.1289,8000,13824000,24389000,3197963.971,160000,3317760000,7072810000,471156031.8
317,45000,6,3.32,29.1,40,57.28,2,140,765,280,30600,16038.4,2291.2,1600,585225,78400,3280.9984,64000,447697125,21952000,187935.5884,2560000,3.42E+11,6146560000,10764950.5
318,60000,6,3.32,29.1,40,110.26,1,140,450,500,18000,55130,4410.4,1600,202500,250000,12157.2676,64000,91125000,125000000,1340460.326,2560000,41006250000,62500000000,147799155.5
319,40000,7,3.32,29.1,60,154.15,3,100,405,450,24300,69367.5,9249,3600,164025,202500,23762.2225,216000,66430125,91125000,3662946.598,12960000,26904200625,41006250000,564643218.1
320,40000,7,3.32,29.1,60,196.76,4,100,405,450,24300,88542,11805.6,3600,164025,202500,38714.4976,216000,66430125,91125000,7617464.548,12960000,26904200625,41006250000,1498812324
321,105000,6,3.32,29.1,20,190.08,4,200,525,480,10500,91238.4,3801.6,400,275625,230400,36130.4064,8000,144703125,110592000,6867667.649,160000,75969140625,53084160000,1305406267
322,100000,5,3.32,29.1,40,183.97,0,160,840,550,33600,101183.5,7358.8,1600,705600,302500,33844.9609,64000,592704000,166375000,6226457.457,2560000,4.98E+11,91506250000,1145481378
323,100000,9,3.32,29.1,20,60,1,200,360,410,7200,24600,1200,400,129600,168100,3600,8000,46656000,68921000,216000,160000,16796160000,28257610000,12960000
324,100000,6,3.32,29.1,40,164.91,3,140,525,480,21000,79156.8,6596.4,1600,275625,230400,27195.3081,64000,144703125,110592000,4484778.259,2560000,75969140625,53084160000,739584782.7
325,100000,6,3.32,29.1,40,193.76,3,140,210,260,8400,50377.6,7750.4,1600,44100,67600,37542.9376,64000,9261000,17576000,7274319.589,2560000,1944810000,4569760000,1409472164
326,100000,9,3.32,29.1,20,229.71,3,200,210,260,4200,59724.6,4594.2,400,44100,67600,52766.6841,8000,9261000,17576000,12121035,160000,1944810000,4569760000,2784322951
327,100000,8,3.32,29.1,40,244.77,5,160,210,260,8400,63640.2,9790.8,1600,44100,67600,59912.3529,64000,9261000,17576000,14664746.62,2560000,1944810000,4569760000,3589490030
328,100000,7,3.32,29.1,30,280.49,5,180,210,260,6300,72927.4,8414.7,900,44100,67600,78674.6401,27000,9261000,17576000,22067449.8,810000,1944810000,4569760000,6189698995
329,45000,9,3.32,29.1,20,226.08,0,200,210,260,4200,58780.8,4521.6,400,44100,67600,51112.1664,8000,9261000,17576000,11555438.58,160000,1944810000,4569760000,2612453554
330,60000,6,3.32,29.1,40,208.21,3,140,210,260,8400,54134.6,8328.4,1600,44100,67600,43351.4041,64000,9261000,17576000,9026195.848,2560000,1944810000,4569760000,1879344237
331,80000,7,3.32,29.1,30,227.73,4,180,120,170,3600,38714.1,6831.9,900,14400,28900,51860.9529,27000,1728000,4913000,11810294.8,810000,207360000,835210000,2689558436
332,105000,7,3.32,29.1,20,263.29,2,200,120,170,2400,44759.3,5265.8,400,14400,28900,69321.6241,8000,1728000,4913000,18251690.41,160000,207360000,835210000,4805487568
333,70000,8,3.32,29.1,40,295.58,7,160,120,170,4800,50248.6,11823.2,1600,14400,28900,87367.5364,64000,1728000,4913000,25824096.41,2560000,207360000,835210000,7633086417
334,75000,7,3.32,29.1,30,258.31,8,180,120,170,3600,43912.7,7749.3,900,14400,28900,66724.0561,27000,1728000,4913000,17235490.93,810000,207360000,835210000,4452099662
335,75000,7,3.32,29.1,30,217.61,6,180,120,170,3600,36993.7,6528.3,900,14400,28900,47354.1121,27000,1728000,4913000,10304728.33,810000,207360000,835210000,2242411933
336,75000,7,3.32,29.1,30,112.01,5,180,330,380,9900,42563.8,3360.3,900,108900,144400,12546.2401,27000,35937000,54872000,1405304.354,810000,11859210000,20851360000,157408140.6
337,60000,6,3.32,29.1,40,106.78,3,140,450,500,18000,53390,4271.2,1600,202500,250000,11401.9684,64000,91125000,125000000,1217502.186,2560000,41006250000,62500000000,130004883.4
338,65000,8,3.32,29.1,40,62.43,2,160,285,330,11400,20601.9,2497.2,1600,81225,108900,3897.5049,64000,23149125,35937000,243321.2309,2560000,6597500625,11859210000,15190544.45
339,50000,7,3.32,29.1,50,68.25,3,120,405,450,20250,30712.5,3412.5,2500,164025,202500,4658.0625,125000,66430125,91125000,317912.7656,6250000,26904200625,41006250000,21697546.25
340,50000,8,3.32,29.1,35,117.72,4,160,285,330,9975,38847.6,4120.2,1225,81225,108900,13857.9984,42875,23149125,35937000,1631363.572,1500625,6597500625,11859210000,192044119.7
341,50000,6,3.32,29.1,40,150.76,4,140,450,500,18000,75380,6030.4,1600,202500,250000,22728.5776,64000,91125000,125000000,3426560.359,2560000,41006250000,62500000000,516588239.7
342,50000,7,3.32,29.1,30,187.24,4,180,285,330,8550,61789.2,5617.2,900,81225,108900,35058.8176,27000,23149125,35937000,6564413.007,810000,6597500625,11859210000,1229120692
343,50000,9,3.32,29.1,20,196.98,1,200,165,210,3300,41365.8,3939.6,400,27225,44100,38801.1204,8000,4492125,9261000,7643044.696,160000,741200625,1944810000,1505526944
344,50000,8,3.32,29.1,40,151.79,4,160,240,290,9600,44019.1,6071.6,1600,57600,84100,23040.2041,64000,13824000,24389000,3497272.58,2560000,3317760000,7072810000,530851005
345,50000,6,3.32,29.1,40,52.17,2,140,525,480,21000,25041.6,2086.8,1600,275625,230400,2721.7089,64000,144703125,110592000,141991.5533,2560000,75969140625,53084160000,7407699.336
346,50000,7,3.32,29.1,30,109.81,1,180,330,380,9900,41727.8,3294.3,900,108900,144400,12058.2361,27000,35937000,54872000,1324114.906,810000,11859210000,20851360000,145401057.8
347,50000,8,3.32,29.1,40,145.99,3,160,240,290,9600,42337.1,5839.6,1600,57600,84100,21313.0801,64000,13824000,24389000,3111496.564,2560000,3317760000,7072810000,454247383.3
348,70000,7,3.32,29.1,30,97.02,2,180,360,410,10800,39778.2,2910.6,900,129600,168100,9412.8804,27000,46656000,68921000,913237.6564,810000,16796160000,28257610000,88602317.42
349,75000,7,3.32,29.1,30,76.22,0,180,360,410,10800,31250.2,2286.6,900,129600,168100,5809.4884,27000,46656000,68921000,442799.2058,810000,16796160000,28257610000,33750155.47
350,90000,9,3.32,29.1,50,71.81,2,200,240,290,12000,20824.9,3590.5,2500,57600,84100,5156.6761,125000,13824000,24389000,370300.9107,6250000,3317760000,7072810000,26591308.4
351,70000,8,3.32,29.1,40,61.2,1,160,285,330,11400,20196,2448,1600,81225,108900,3745.44,64000,23149125,35937000,229220.928,2560000,6597500625,11859210000,14028320.79
352,75000,7,3.32,29.1,30,125.25,2,180,330,380,9900,47595,3757.5,900,108900,144400,15687.5625,27000,35937000,54872000,1964867.203,810000,11859210000,20851360000,246099617.2
353,100000,6,3.32,29.1,20,293.9,5,220,120,170,2400,49963,5878,400,14400,28900,86377.21,8000,1728000,4913000,25386262.02,160000,207360000,835210000,7461022407
354,70000,8,3.32,29.1,35,340.3,5,160,120,170,4200,57851,11910.5,1225,14400,28900,115804.09,42875,1728000,4913000,39408131.83,1500625,207360000,835210000,13410587261
355,80000,9,3.32,29.1,20,267.37,4,200,120,170,2400,45452.9,5347.4,400,14400,28900,71486.7169,8000,1728000,4913000,19113403.5,160000,207360000,835210000,5110350693
356,95000,9,3.32,29.1,20,296.45,5,200,120,170,2400,50396.5,5929,400,14400,28900,87882.6025,8000,1728000,4913000,26052797.51,160000,207360000,835210000,7723351822
357,90000,9,3.32,29.1,20,328.4,6,200,120,170,2400,55828,6568,400,14400,28900,107846.56,8000,1728000,4913000,35416810.3,160000,207360000,835210000,11630880504
358,40000,7,3.32,29.1,60,271.15,4,100,120,170,7200,46095.5,16269,3600,14400,28900,73522.3225,216000,1728000,4913000,19935577.75,12960000,207360000,835210000,5405531906
359,55000,6,3.32,29.1,40,260.71,4,140,120,170,4800,44320.7,10428.4,1600,14400,28900,67969.7041,64000,1728000,4913000,17720381.56,2560000,207360000,835210000,4619880675
360,100000,6,3.32,29.1,20,327.27,7,200,90,140,1800,45817.8,6545.4,400,8100,19600,107105.6529,8000,729000,2744000,35052467.02,160000,65610000,384160000,11471620883
361,85000,9,3.32,29.1,20,291.29,6,200,90,140,1800,40780.6,5825.8,400,8100,19600,84849.8641,8000,729000,2744000,24715916.91,160000,65610000,384160000,7199499438
362,105000,9,3.32,29.1,20,339.84,8,200,90,140,1800,47577.6,6796.8,400,8100,19600,115491.2256,8000,729000,2744000,39248538.11,160000,65610000,384160000,13338223191
363,100000,9,3.32,29.1,20,306.22,6,220,90,140,1800,42870.8,6124.4,400,8100,19600,93770.6884,8000,729000,2744000,28714460.2,160000,65610000,384160000,8792942003
364,100000,8,3.32,29.1,40,268.07,5,160,90,140,3600,37529.8,10722.8,1600,8100,19600,71861.5249,64000,729000,2744000,19263918.98,2560000,65610000,384160000,5164078761
365,100000,9,3.32,29.1,20,355.76,7,200,90,140,1800,49806.4,7115.2,400,8100,19600,126565.1776,8000,729000,2744000,45026827.58,160000,65610000,384160000,16018744181
366,100000,6,3.32,29.1,40,310.04,7,140,90,140,3600,43405.6,12401.6,1600,8100,19600,96124.8016,64000,729000,2744000,29802533.49,2560000,65610000,384160000,9239977483
367,100000,8,3.32,29.1,40,357.58,7,160,90,140,3600,50061.2,14303.2,1600,8100,19600,127863.4564,64000,729000,2744000,45721414.74,2560000,65610000,384160000,16349063483
368,100000,9,3.32,29.1,20,306.79,10,200,90,140,1800,42950.6,6135.8,400,8100,19600,94120.1041,8000,729000,2744000,28875106.74,160000,65610000,384160000,8858593996
369,80000,8,3.32,29.1,40,356.72,11,160,90,140,3600,49940.8,14268.8,1600,8100,19600,127249.1584,64000,729000,2744000,45392319.78,2560000,65610000,384160000,16192348314
370,65000,8,3.32,29.1,40,244,3,160,90,140,3600,34160,9760,1600,8100,19600,59536,64000,729000,2744000,14526784,2560000,65610000,384160000,3544535296
371,80000,7,3.32,29.1,30,183.17,4,180,330,380,9900,69604.6,5495.1,900,108900,144400,33551.2489,27000,35937000,54872000,6145582.261,810000,11859210000,20851360000,1125686303
372,60000,6,3.32,29.1,40,237.61,5,140,120,170,4800,40393.7,9504.4,1600,14400,28900,56458.5121,64000,1728000,4913000,13415107.06,2560000,207360000,835210000,3187563589
373,60000,6,3.32,29.1,20,157.43,4,200,405,450,8100,70843.5,3148.6,400,164025,202500,24784.2049,8000,66430125,91125000,3901777.377,160000,26904200625,41006250000,614256812.5
374,60000,7,3.32,29.1,20,203.97,3,200,330,380,6600,77508.6,4079.4,400,108900,144400,41603.7609,8000,35937000,54872000,8485919.111,160000,11859210000,20851360000,1730872921
375,60000,7,3.32,29.1,30,136.36,1,180,330,380,9900,51816.8,4090.8,900,108900,144400,18594.0496,27000,35937000,54872000,2535484.603,810000,11859210000,20851360000,345738680.5
376,70000,8,3.32,29.1,40,45.04,1,160,360,410,14400,18466.4,1801.6,1600,129600,168100,2028.6016,64000,46656000,68921000,91368.21606,2560000,16796160000,28257610000,4115224.452
377,50000,7,3.32,29.1,50,47.68,2,120,480,300,24000,14304,2384,2500,230400,90000,2273.3824,125000,110592000,27000000,108394.8728,6250000,53084160000,8100000000,5168267.537
378,80000,7,3.32,29.1,30,79.16,0,180,360,410,10800,32455.6,2374.8,900,129600,168100,6266.3056,27000,46656000,68921000,496040.7513,810000,16796160000,28257610000,39266585.87
379,40000,7,3.32,29.1,50,112.36,1,100,330,380,16500,42696.8,5618,2500,108900,144400,12624.7696,125000,35937000,54872000,1418519.112,6250000,11859210000,20851360000,159384807.5
380,100000,7,3.32,29.1,20,82.86,0,220,330,380,6600,31486.8,1657.2,400,108900,144400,6865.7796,8000,35937000,54872000,568898.4977,160000,11859210000,20851360000,47138929.52
381,70000,8,3.32,29.1,40,93.41,3,160,240,290,9600,27088.9,3736.4,1600,57600,84100,8725.4281,64000,13824000,24389000,815042.2388,2560000,3317760000,7072810000,76133095.53
382,70000,7,3.32,29.1,30,54.82,0,180,450,500,13500,27410,1644.6,900,202500,250000,3005.2324,27000,91125000,125000000,164746.8402,810000,41006250000,62500000000,9031421.778
383,85000,9,3.32,29.1,20,82.46,2,200,285,330,5700,27211.8,1649.2,400,81225,108900,6799.6516,8000,23149125,35937000,560699.2709,160000,6597500625,11859210000,46235261.88
384,70000,8,3.32,29.1,40,118.11,2,160,330,380,13200,44881.8,4724.4,1600,108900,144400,13949.9721,64000,35937000,54872000,1647631.205,2560000,11859210000,20851360000,194601721.6
385,95000,9,3.32,29.1,20,55.58,0,200,285,330,5700,18341.4,1111.6,400,81225,108900,3089.1364,8000,23149125,35937000,171694.2011,160000,6597500625,11859210000,9542763.698
386,65000,8,3.32,29.1,40,53.54,1,160,360,410,14400,21951.4,2141.6,1600,129600,168100,2866.5316,64000,46656000,68921000,153474.1019,2560000,16796160000,28257610000,8217003.414
387,65000,6,3.32,29.1,40,48.84,1,140,645,400,25800,19536,1953.6,1600,416025,160000,2385.3456,64000,268336125,64000000,116500.2791,2560000,1.73E+11,25600000000,5689873.631
388,65000,9,3.32,29.1,20,88.2,2,200,285,330,5700,29106,1764,400,81225,108900,7779.24,8000,23149125,35937000,686128.968,160000,6597500625,11859210000,60516574.98
389,65000,9,3.32,29.1,20,42.2,0,200,285,330,5700,13926,844,400,81225,108900,1780.84,8000,23149125,35937000,75151.448,160000,6597500625,11859210000,3171391.106
390,65000,7,3.32,29.1,20,38.48,0,200,450,500,9000,19240,769.6,400,202500,250000,1480.7104,8000,91125000,125000000,56977.73619,160000,41006250000,62500000000,2192503.289
391,75000,7,3.32,29.1,30,47.76,1,180,480,300,14400,14328,1432.8,900,230400,90000,2281.0176,27000,110592000,27000000,108941.4006,810000,53084160000,8100000000,5203041.292
392,70000,8,3.32,29.1,40,15.62,0,160,450,500,18000,7810,624.8,1600,202500,250000,243.9844,64000,91125000,125000000,3811.036328,2560000,41006250000,62500000000,59528.38744
393,105000,9,3.32,29.1,20,23.19,1,200,360,410,7200,9507.9,463.8,400,129600,168100,537.7761,8000,46656000,68921000,12471.02776,160000,16796160000,28257610000,289203.1337
394,60000,6,3.32,29.1,35,46.49,1,140,645,400,22575,18596,1627.15,1225,416025,160000,2161.3201,42875,268336125,64000000,100479.7714,1500625,1.73E+11,25600000000,4671304.575
395,90000,9,3.32,29.1,20,65.73,0,200,285,330,5700,21690.9,1314.6,400,81225,108900,4320.4329,8000,23149125,35937000,283982.0545,160000,6597500625,11859210000,18666140.44
396,80000,7,3.32,29.1,30,52.2,1,180,480,300,14400,15660,1566,900,230400,90000,2724.84,27000,110592000,27000000,142236.648,810000,53084160000,8100000000,7424753.026
397,60000,7,3.32,29.1,30,67.36,1,180,480,300,14400,20208,2020.8,900,230400,90000,4537.3696,27000,110592000,27000000,305637.2163,810000,53084160000,8100000000,20587722.89
398,95000,9,3.32,29.1,20,56.73,0,200,285,330,5700,18720.9,1134.6,400,81225,108900,3218.2929,8000,23149125,35937000,182573.7562,160000,6597500625,11859210000,10357409.19
399,60000,6,3.32,29.1,40,135.2,2,140,570,280,22800,37856,5408,1600,324900,78400,18279.04,64000,185193000,21952000,2471326.208,2560000,1.06E+11,6146560000,334123303.3
400,65000,8,3.32,29.1,40,143.39,3,160,330,380,13200,54488.2,5735.6,1600,108900,144400,20560.6921,64000,35937000,54872000,2948197.64,2560000,11859210000,20851360000,422742059.6
401,95000,9,3.32,29.1,20,121.56,3,200,240,290,4800,35252.4,2431.2,400,57600,84100,14776.8336,8000,13824000,24389000,1796271.892,160000,3317760000,7072810000,218354811.2
402,60000,6,3.32,29.1,40,66.03,2,140,645,400,25800,26412,2641.2,1600,416025,160000,4359.9609,64000,268336125,64000000,287888.2182,2560000,1.73E+11,25600000000,19009259.05
403,95000,9,3.32,29.1,20,155.97,5,220,240,290,4800,45231.3,3119.4,400,57600,84100,24326.6409,8000,13824000,24389000,3794226.181,160000,3317760000,7072810000,591785457.5
404,100000,6,3.32,29.1,20,116.73,3,220,570,280,11400,32684.4,2334.6,400,324900,78400,13625.8929,8000,185193000,21952000,1590550.478,160000,1.06E+11,6146560000,185664957.3
405,60000,6,3.32,29.1,40,151.73,2,140,570,280,22800,42484.4,6069.2,1600,324900,78400,23021.9929,64000,185193000,21952000,3493126.983,2560000,1.06E+11,6146560000,530012157.1
406,50000,7,3.32,29.1,50,44.18,3,120,480,300,24000,13254,2209,2500,230400,90000,1951.8724,125000,110592000,27000000,86233.72263,6250000,53084160000,8100000000,3809805.866
407,100000,5,3.32,29.1,20,69.32,1,220,480,300,9600,20796,1386.4,400,230400,90000,4805.2624,8000,110592000,27000000,333100.7896,160000,53084160000,8100000000,23090546.73
408,50000,7,3.32,29.1,50,91.55,2,120,480,300,24000,27465,4577.5,2500,230400,90000,8381.4025,125000,110592000,27000000,767317.3989,6250000,53084160000,8100000000,70247907.87
409,100000,7,3.32,29.1,20,37.7,0,220,480,300,9600,11310,754,400,230400,90000,1421.29,8000,110592000,27000000,53582.633,160000,53084160000,8100000000,2020065.264
410,75000,7,2.5,29.1,30,94.34,3,180,405,450,12150,42453,2830.2,900,164025,202500,8900.0356,27000,66430125,91125000,839629.3585,810000,26904200625,41006250000,79210633.68
411,80000,9,2.5,29.1,20,103.46,2,200,240,290,4800,30003.4,2069.2,400,57600,84100,10703.9716,8000,13824000,24389000,1107432.902,160000,3317760000,7072810000,114575008
412,50000,7,2.5,29.1,50,196.36,2,120,405,450,20250,88362,9818,2500,164025,202500,38557.2496,125000,66430125,91125000,7571101.531,6250000,26904200625,41006250000,1486661497
413,100000,6,2.5,29.1,20,187.96,6,220,525,480,10500,90220.8,3759.2,400,275625,230400,35328.9616,8000,144703125,110592000,6640431.622,160000,75969140625,53084160000,1248135528
414,40000,7,2.5,29.1,60,220.1,1,100,360,410,21600,90241,13206,3600,129600,168100,48444.01,216000,46656000,68921000,10662526.6,12960000,16796160000,28257610000,2346822105
415,65000,8,2.5,29.1,40,163.62,0,160,330,380,13200,62175.6,6544.8,1600,108900,144400,26771.5044,64000,35937000,54872000,4380353.55,2560000,11859210000,20851360000,716713447.8
416,50000,7,2.5,29.1,50,138.36,3,120,405,450,20250,62262,6918,2500,164025,202500,19143.4896,125000,66430125,91125000,2648693.221,6250000,26904200625,41006250000,366473194.1
417,90000,9,2.5,29.1,20,213.04,2,200,210,260,4200,55390.4,4260.8,400,44100,67600,45386.0416,8000,9261000,17576000,9669042.302,160000,1944810000,4569760000,2059892772
418,40000,7,2.5,29.1,50,145.72,2,120,405,450,20250,65574,7286,2500,164025,202500,21234.3184,125000,66430125,91125000,3094264.877,6250000,26904200625,41006250000,450896277.9
419,50000,7,2.5,29.1,50,256.45,2,120,330,380,16500,97451,12822.5,2500,108900,144400,65766.6025,125000,35937000,54872000,16865845.21,6250000,11859210000,20851360000,4325246004
420,50000,7,2.5,29.1,30,180.25,2,180,405,450,12150,81112.5,5407.5,900,164025,202500,32490.0625,27000,66430125,91125000,5856333.766,810000,26904200625,41006250000,1055604161
421,50000,7,2.5,29.1,20,214.46,1,200,360,410,7200,87928.6,4289.2,400,129600,168100,45993.0916,8000,46656000,68921000,9863678.425,160000,16796160000,28257610000,2115364475
422,50000,8,2.5,29.1,40,319.04,2,160,210,260,8400,82950.4,12761.6,1600,44100,67600,101786.5216,64000,9261000,17576000,32473971.85,2560000,1944810000,4569760000,10360495979
423,50000,9,2.5,29.1,20,311.67,8,220,165,210,3300,65450.7,6233.4,400,27225,44100,97138.1889,8000,4492125,9261000,30275059.33,160000,741200625,1944810000,9435827743
424,50000,7,2.5,29.1,50,247.03,6,100,330,380,16500,93871.4,12351.5,2500,108900,144400,61023.8209,125000,35937000,54872000,15074714.48,6250000,11859210000,20851360000,3723906717
425,95000,9,2.5,29.1,20,145.5,1,200,210,260,4200,37830,2910,400,44100,67600,21170.25,8000,9261000,17576000,3080271.375,160000,1944810000,4569760000,448179485.1
426,65000,8,2.5,29.1,40,243.13,5,160,240,290,9600,70507.7,9725.2,1600,57600,84100,59112.1969,64000,13824000,24389000,14371948.43,2560000,3317760000,7072810000,3494251822
427,95000,9,2.5,29.1,20,277.12,3,200,210,260,4200,72051.2,5542.4,400,44100,67600,76795.4944,8000,9261000,17576000,21281567.41,160000,1944810000,4569760000,5897547960
428,100000,9,2.5,29.1,20,259.28,2,220,210,260,4200,67412.8,5185.6,400,44100,67600,67226.1184,8000,9261000,17576000,17430387.98,160000,1944810000,4569760000,4519350995
429,100000,6,2.5,29.1,40,223.83,1,140,480,300,19200,67149,8953.2,1600,230400,90000,50099.8689,64000,110592000,27000000,11213853.66,2560000,53084160000,8100000000,2509996864
430,100000,7,2.5,29.1,30,221.54,7,180,360,410,10800,90831.4,6646.2,900,129600,168100,49079.9716,27000,46656000,68921000,10873176.91,810000,16796160000,28257610000,2408843612
431,100000,6,2.5,29.1,40,254.95,6,140,450,500,18000,127475,10198,1600,202500,250000,64999.5025,64000,91125000,125000000,16571623.16,2560000,41006250000,62500000000,4224935325
432,100000,7,2.5,29.1,60,256.85,3,100,330,380,19800,97603,15411,3600,108900,144400,65971.9225,216000,35937000,54872000,16944888.29,12960000,11859210000,20851360000,4352294558
433,60000,6,2.5,29.1,40,304.61,2,140,450,500,18000,152305,12184.4,1600,202500,250000,92787.2521,64000,91125000,125000000,28263924.86,2560000,41006250000,62500000000,8609474152
434,70000,8,2.5,29.1,40,322.06,7,160,240,290,9600,93397.4,12882.4,1600,57600,84100,103722.6436,64000,13824000,24389000,33404914.6,2560000,3317760000,7072810000,10758386795
435,70000,8,2.5,29.1,35,318.11,5,160,240,290,8400,92251.9,11133.85,1225,57600,84100,101193.9721,42875,13824000,24389000,32190814.46,1500625,3317760000,7072810000,10240219989
436,90000,9,2.5,29.1,20,320.63,1,200,210,260,4200,83363.8,6412.6,400,44100,67600,102803.5969,8000,9261000,17576000,32961917.27,160000,1944810000,4569760000,10568579536
437,95000,9,2.5,29.1,20,256.73,4,200,240,290,4800,74451.7,5134.6,400,57600,84100,65910.2929,8000,13824000,24389000,16921149.5,160000,3317760000,7072810000,4344166710
438,105000,7,2.5,29.1,30,260.6,4,180,405,450,12150,117270,7818,900,164025,202500,67912.36,27000,66430125,91125000,17697961.02,810000,26904200625,41006250000,4612088641
439,55000,6,2.5,29.1,40,318.02,3,140,450,500,18000,159010,12720.8,1600,202500,250000,101136.7204,64000,91125000,125000000,32163499.82,2560000,41006250000,62500000000,10228636213
440,55000,6,2.5,29.1,40,301.88,2,140,450,500,18000,150940,12075.2,1600,202500,250000,91131.5344,64000,91125000,125000000,27510787.6,2560000,41006250000,62500000000,8304956562
441,90000,9,2.5,29.1,20,234.06,2,200,240,290,4800,67877.4,4681.2,400,57600,84100,54784.0836,8000,13824000,24389000,12822762.61,160000,3317760000,7072810000,3001295816
442,45000,6,2.5,29.1,40,234.36,4,140,525,480,21000,112492.8,9374.4,1600,275625,230400,54924.6096,64000,144703125,110592000,12872131.51,2560000,75969140625,53084160000,3016712740
443,100000,7,2.5,29.1,20,132,1,220,525,480,10500,63360,2640,400,275625,230400,17424,8000,144703125,110592000,2299968,160000,75969140625,53084160000,303595776
444,60000,6,2.5,29.1,40,206.63,7,140,405,450,16200,92983.5,8265.2,1600,164025,202500,42695.9569,64000,66430125,91125000,8822265.574,2560000,26904200625,41006250000,1822944736
445,80000,9,2.5,29.1,20,138.22,4,200,330,380,6600,52523.6,2764.4,400,108900,144400,19104.7684,8000,35937000,54872000,2640661.088,160000,11859210000,20851360000,364992175.6
446,85000,9,2.5,29.1,20,80.99,2,200,360,410,7200,33205.9,1619.8,400,129600,168100,6559.3801,8000,46656000,68921000,531244.1943,160000,16796160000,28257610000,43025467.3
447,85000,7,2.5,29.1,60,26.17,0,100,600,450,36000,11776.5,1570.2,3600,360000,202500,684.8689,216000,216000000,91125000,17923.01911,12960000,1.30E+11,41006250000,469045.4102
448,85000,9,2.5,29.1,20,109.66,4,200,360,410,7200,44960.6,2193.2,400,129600,168100,12025.3156,8000,46656000,68921000,1318696.109,160000,16796160000,28257610000,144608215.3
449,85000,6,2.5,29.1,20,174.52,9,200,690,500,13800,87260,3490.4,400,476100,250000,30457.2304,8000,328509000,125000000,5315395.849,160000,2.27E+11,62500000000,927642883.6
450,85000,7,2.5,29.1,20,255.15,11,200,405,450,8100,114817.5,5103,400,164025,202500,65101.5225,8000,66430125,91125000,16610653.47,160000,26904200625,41006250000,4238208232
451,40000,7,2.5,29.1,60,297.06,11,100,405,450,24300,133677,17823.6,3600,164025,202500,88244.6436,216000,66430125,91125000,26213953.83,12960000,26904200625,41006250000,7787117124
452,105000,7,2.5,29.1,20,276.74,10,220,405,450,8100,124533,5534.8,400,164025,202500,76585.0276,8000,66430125,91125000,21194140.54,160000,26904200625,41006250000,5865266452
453,60000,6,2.5,29.1,40,261.28,9,140,525,480,21000,125414.4,10451.2,1600,275625,230400,68267.2384,64000,144703125,110592000,17836864.05,2560000,75969140625,53084160000,4660415839
454,55000,6,2.5,29.1,40,209.29,8,140,600,450,24000,94180.5,8371.6,1600,360000,202500,43802.3041,64000,216000000,91125000,9167384.225,2560000,1.30E+11,41006250000,1918641844
455,95000,9,2.5,29.1,20,238.03,6,200,285,330,5700,78549.9,4760.6,400,81225,108900,56658.2809,8000,23149125,35937000,13486370.6,160000,6597500625,11859210000,3210160795
456,95000,9,2.5,29.1,20,160.65,8,200,330,380,6600,61047,3213,400,108900,144400,25808.4225,8000,35937000,54872000,4146123.075,160000,11859210000,20851360000,666074671.9
