ID,Household income,Household size,Rainfall,Ave temp dry,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay,tA,Wd,td,t2,A2,W2,d2,t3,A3,W3,d3,t4,A4,W4,d4,t5,A5,W5,d5
23,50000,7,2,29.1,50,240.93,7,120,165,210,8250,50595.3,12046.5,2500,27225,44100,58047.2649,125000,4492125,9261000,13985327.53,6250000,741200625,1944810000,3369484962,312500000,1.22298E+11,4.0841E+11,8.1181E+11
24,45000,6,2,29.1,40,207.39,5,140,285,330,11400,68438.7,8295.6,1600,81225,108900,43010.6121,64000,23149125,35937000,8919970.843,2560000,6597500625,11859210000,1849912753,102400000,1.88029E+12,3.91354E+12,3.83653E+11
25,65000,8,2,29.1,35,182.72,2,160,380,430,13300,78569.6,6395.2,1225,144400,184900,33386.5984,42875,54872000,79507000,6100399.26,1500625,20851360000,34188010000,1114664953,52521875,7.92352E+12,1.47008E+13,2.03672E+11
26,50000,6,2,29.1,40,112.16,0,140,285,330,11400,37012.8,4486.4,1600,81225,108900,12579.8656,64000,23149125,35937000,1410957.726,2560000,6597500625,11859210000,158253018.5,102400000,1.88029E+12,3.91354E+12,17749658557
27,105000,6,2,29.1,20,56.3,1,200,450,500,9000,28150,1126,400,202500,250000,3169.69,8000,91125000,125000000,178453.547,160000,41006250000,62500000000,10046934.7,3200000,1.84528E+13,3.125E+13,565642423.4
28,40000,7,2,29.1,60,30.41,1,100,120,170,7200,5169.7,1824.6,3600,14400,28900,924.7681,216000,1728000,4913000,28122.19792,12960000,207360000,835210000,855196.0388,777600000,24883200000,1.41986E+11,26006511.54
29,40000,6,2,29.1,40,74.43,2,140,200,250,8000,18607.5,2977.2,1600,40000,62500,5539.8249,64000,8000000,15625000,412329.1673,2560000,1600000000,3906250000,30689659.92,102400000,3.2E+11,9.76563E+11,2284231388
30,40000,7,2,29.1,60,141.01,2,100,120,170,7200,23971.7,8460.6,3600,14400,28900,19883.8201,216000,1728000,4913000,2803817.472,12960000,207360000,835210000,395366301.8,777600000,24883200000,1.41986E+11,55750602212
31,40000,7,2,29.1,60,144.28,3,100,360,410,21600,59154.8,8656.8,3600,129600,168100,20816.7184,216000,46656000,68921000,3003436.131,12960000,16796160000,28257610000,433335764.9,777600000,6.04662E+12,1.15856E+13,62521684166
32,40000,7,2,29.1,30,167.93,5,180,90,140,2700,23510.2,5037.9,900,8100,19600,28200.4849,27000,729000,2744000,4735707.429,810000,65610000,384160000,795267348.6,24300000,5904900000,53782400000,1.33549E+11
33,40000,7,2,29.1,30,67.2,4,180,210,260,6300,17472,2016,900,44100,67600,4515.84,27000,9261000,17576000,303464.448,810000,1944810000,4569760000,20392810.91,24300000,4.0841E+11,1.18814E+12,1370396893
34,40000,6,2,29.1,20,93.52,5,220,120,170,2400,15898.4,1870.4,400,14400,28900,8745.9904,8000,1728000,4913000,817925.0222,160000,207360000,835210000,76492348.08,3200000,24883200000,1.41986E+11,7153564392
35,40000,7,2,29.1,60,102.07,5,100,120,170,7200,17351.9,6124.2,3600,14400,28900,10418.2849,216000,1728000,4913000,1063394.34,12960000,207360000,835210000,108540660.3,777600000,24883200000,1.41986E+11,11078745192
36,40000,8,2,29.1,40,60.88,2,160,280,330,11200,20090.4,2435.2,1600,78400,108900,3706.3744,64000,21952000,35937000,225644.0735,2560000,6146560000,11859210000,13737211.19,102400000,1.72104E+12,3.91354E+12,836321417.4
37,40000,6,2,29.1,20,87,0,200,240,290,4800,25230,1740,400,57600,84100,7569,8000,13824000,24389000,658503,160000,3317760000,7072810000,57289761,3200000,7.96262E+11,2.05111E+12,4984209207
38,40000,7,2,29.1,30,92.91,3,180,165,210,4950,19511.1,2787.3,900,27225,44100,8632.2681,27000,4492125,9261000,802024.0292,810000,741200625,1944810000,74516052.55,24300000,1.22298E+11,4.0841E+11,6923286442
39,100000,7,2,29.1,30,126.53,3,180,120,170,3600,21510.1,3795.9,900,14400,28900,16009.8409,27000,1728000,4913000,2025725.169,810000,207360000,835210000,256315005.6,24300000,24883200000,1.41986E+11,32431537664
40,60000,6,2,29.1,40,167.06,6,140,300,350,12000,58471,6682.4,1600,90000,122500,27909.0436,64000,27000000,42875000,4662484.824,2560000,8100000000,15006250000,778914714.7,102400000,2.43E+12,5.25219E+12,1.30125E+11
41,45000,6,2,29.1,35,206.46,6,140,120,170,4200,35098.2,7226.1,1225,14400,28900,42625.7316,42875,1728000,4913000,8800508.546,1500625,207360000,835210000,1816952994,52521875,24883200000,1.41986E+11,3.75128E+11
42,60000,6,2,29.1,40,193.83,6,140,260,310,10400,60087.3,7753.2,1600,67600,96100,37570.0689,64000,17576000,29791000,7282206.455,2560000,4569760000,9235210000,1411510077,102400000,1.18814E+12,2.86292E+12,2.73593E+11
43,40000,7,2,29.1,60,188.4,4,100,120,170,7200,32028,11304,3600,14400,28900,35494.56,216000,1728000,4913000,6687175.104,12960000,207360000,835210000,1259863790,777600000,24883200000,1.41986E+11,2.37358E+11
44,60000,6,2,29.1,35,139.45,4,140,120,170,4200,23706.5,4880.75,1225,14400,28900,19446.3025,42875,1728000,4913000,2711786.884,1500625,207360000,835210000,378158680.9,52521875,24883200000,1.41986E+11,52734228055
45,65000,7,2,29.1,30,74.4,3,180,180,230,5400,17112,2232,900,32400,52900,5535.36,27000,5832000,12167000,411830.784,810000,1049760000,2798410000,30640210.33,24300000,1.88957E+11,6.43634E+11,2279631649
46,100000,7,2,29.1,20,35.36,1,220,360,410,7200,14497.6,707.2,400,129600,168100,1250.3296,8000,46656000,68921000,44211.65466,160000,16796160000,28257610000,1563324.109,3200000,6.04662E+12,1.15856E+13,55279140.48
47,70000,8,2,29.1,40,51.62,1,160,285,330,11400,17034.6,2064.8,1600,81225,108900,2664.6244,64000,23149125,35937000,137547.9115,2560000,6597500625,11859210000,7100223.193,102400000,1.88029E+12,3.91354E+12,366513521.2
48,100000,9,2,29.1,20,90.8,1,220,240,290,4800,26332,1816,400,57600,84100,8244.64,8000,13824000,24389000,748613.312,160000,3317760000,7072810000,67974088.73,3200000,7.96262E+11,2.05111E+12,6172047257
49,85000,9,2,29.1,20,136.56,2,200,120,170,2400,23215.2,2731.2,400,14400,28900,18648.6336,8000,1728000,4913000,2546657.404,160000,207360000,835210000,347771535.1,3200000,24883200000,1.41986E+11,47491680840
50,100000,9,2,29.1,20,150.72,4,220,300,350,6000,52752,3014.4,400,90000,122500,22716.5184,8000,27000000,42875000,3423833.653,160000,8100000000,15006250000,516040208.2,3200000,2.43E+12,5.25219E+12,77777580183
51,90000,9,2,29.1,20,102.08,1,220,120,170,2400,17353.6,2041.6,400,14400,28900,10420.3264,8000,1728000,4913000,1063706.919,160000,207360000,835210000,108583202.3,3200000,24883200000,1.41986E+11,11084173289
52,105000,9,2,29.1,20,114.39,3,200,240,290,4800,33173.1,2287.8,400,57600,84100,13085.0721,8000,13824000,24389000,1496801.398,160000,3317760000,7072810000,171219111.9,3200000,7.96262E+11,2.05111E+12,19585754206
53,75000,7,2,29.1,30,139.29,4,180,120,170,3600,23679.3,4178.7,900,14400,28900,19401.7041,27000,1728000,4913000,2702463.364,810000,207360000,835210000,376426122,24300000,24883200000,1.41986E+11,52432394531
54,75000,7,2,29.1,45,188.53,3,120,120,170,5400,32050.1,8483.85,2025,14400,28900,35543.5609,91125,1728000,4913000,6701027.536,4100625,207360000,835210000,1263344721,184528125,24883200000,1.41986E+11,2.38178E+11
55,75000,9,2,29.1,20,189.11,3,200,200,250,4000,47277.5,3782.2,400,40000,62500,35762.5921,8000,8000000,15625000,6763063.792,160000,1600000000,3906250000,1278962994,3200000,3.2E+11,9.76563E+11,2.41865E+11
56,75000,7,2,29.1,30,151.82,3,180,120,170,3600,25809.4,4554.6,900,14400,28900,23049.3124,27000,1728000,4913000,3499346.609,810000,207360000,835210000,531270802.1,24300000,24883200000,1.41986E+11,80657533177
57,75000,8,2,29.1,40,98.27,3,160,310,360,12400,35377.2,3930.8,1600,96100,129600,9656.9929,64000,29791000,46656000,948992.6923,2560000,9235210000,16796160000,93257511.87,102400000,2.86292E+12,6.04662E+12,9164415692
58,75000,6,2,29.1,20,66.1,3,200,285,330,5700,21813,1322,400,81225,108900,4369.21,8000,23149125,35937000,288804.781,160000,6597500625,11859210000,19089996.02,3200000,1.88029E+12,3.91354E+12,1261848737
59,75000,6,2,29.1,40,54.04,2,160,330,380,13200,20535.2,2161.6,1600,108900,144400,2920.3216,64000,35937000,54872000,157814.1793,2560000,11859210000,20851360000,8528278.247,102400000,3.91354E+12,7.92352E+12,460868156.5
60,75000,6,2,29.1,35,37.12,1,140,280,330,9800,12249.6,1299.2,1225,78400,108900,1377.8944,42875,21952000,35937000,51147.44013,1500625,6146560000,11859210000,1898592.978,52521875,1.72104E+12,3.91354E+12,70475771.33
61,80000,7,2,29.1,30,77.16,2,180,210,260,6300,20061.6,2314.8,900,44100,67600,5953.6656,27000,9261000,17576000,459384.8377,810000,1944810000,4569760000,35446134.08,24300000,4.0841E+11,1.18814E+12,2735023705
62,40000,7,2,29.1,60,118.44,2,100,165,210,9900,24872.4,7106.4,3600,27225,44100,14028.0336,216000,4492125,9261000,1661480.3,12960000,741200625,1944810000,196785726.7,777600000,1.22298E+11,4.0841E+11,23307301468
63,75000,7,2,29.1,30,176.82,3,180,165,210,4950,37132.2,5304.6,900,27225,44100,31265.3124,27000,4492125,9261000,5528332.539,810000,741200625,1944810000,977519759.5,24300000,1.22298E+11,4.0841E+11,1.72845E+11
64,40000,7,2,29.1,50,235.36,6,120,100,150,5000,35304,11768,2500,10000,22500,55394.3296,125000,1000000,3375000,13037609.41,6250000,100000000,506250000,3068531752,312500000,10000000000,75937500000,7.2221E+11
65,45000,6,2,29.1,40,254.87,7,140,165,210,6600,53522.7,10194.8,1600,27225,44100,64958.7169,64000,4492125,9261000,16556028.18,2560000,741200625,1944810000,4219634901,102400000,1.22298E+11,4.0841E+11,1.07546E+12
66,90000,9,2,29.1,20,296.1,9,220,165,210,3300,62181,5922,400,27225,44100,87675.21,8000,4492125,9261000,25960629.68,160000,741200625,1944810000,7686942449,3200000,1.22298E+11,4.0841E+11,2.2761E+12
67,50000,7,2,29.1,50,207.2,5,120,200,250,10000,51800,10360,2500,40000,62500,42931.84,125000,8000000,15625000,8895477.248,6250000,1600000000,3906250000,1843142886,312500000,3.2E+11,9.76563E+11,3.81899E+11
68,60000,6,2,29.1,40,238.32,6,140,165,210,6600,50047.2,9532.8,1600,27225,44100,56796.4224,64000,4492125,9261000,13535723.39,2560000,741200625,1944810000,3225833597,102400000,1.22298E+11,4.0841E+11,7.68781E+11
69,60000,7,2,29.1,50,197.28,5,120,165,210,8250,41428.8,9864,2500,27225,44100,38919.3984,125000,4492125,9261000,7678018.916,6250000,741200625,1944810000,1514719572,312500000,1.22298E+11,4.0841E+11,2.98824E+11
70,60000,9,2,29.1,20,228.64,6,200,310,360,6200,82310.4,4572.8,400,96100,129600,52276.2496,8000,29791000,46656000,11952441.71,160000,9235210000,16796160000,2732806272,3200000,2.86292E+12,6.04662E+12,6.24829E+11
71,60000,7,2,29.1,60,237.98,6,100,165,210,9900,49975.8,14278.8,3600,27225,44100,56634.4804,216000,4492125,9261000,13477873.65,12960000,741200625,1944810000,3207464370,777600000,1.22298E+11,4.0841E+11,7.63312E+11
72,60000,8,2,29.1,40,197.31,5,160,165,210,6600,41435.1,7892.4,1600,27225,44100,38931.2361,64000,4492125,9261000,7681522.195,2560000,741200625,1944810000,1515641144,102400000,1.22298E+11,4.0841E+11,2.99051E+11
73,60000,6,2,29.1,40,209.4,5,140,120,170,4800,35598,8376,1600,14400,28900,43848.36,64000,1728000,4913000,9181846.584,2560000,207360000,835210000,1922678675,102400000,24883200000,1.41986E+11,4.02609E+11
74,60000,7,2,29.1,30,261.01,6,180,280,330,8400,86133.3,7830.3,900,78400,108900,68126.2201,27000,21952000,35937000,17781624.71,810000,6146560000,11859210000,4641181865,24300000,1.72104E+12,3.91354E+12,1.21139E+12
75,65000,8,2,29.1,40,234.85,6,160,120,170,4800,39924.5,9394,1600,14400,28900,55154.5225,64000,1728000,4913000,12953039.61,2560000,207360000,835210000,3042021352,102400000,24883200000,1.41986E+11,7.14419E+11
76,70000,7,2,29.1,30,281.32,4,180,120,170,3600,47824.4,8439.6,900,14400,28900,79140.9424,27000,1728000,4913000,22263929.92,810000,207360000,835210000,6263288764,24300000,24883200000,1.41986E+11,1.76199E+12
77,40000,7,2,29.1,60,344.41,0,100,300,350,18000,120543.5,20664.6,3600,90000,122500,118618.2481,216000,27000000,42875000,40853310.83,12960000,8100000000,15006250000,14070288782,777600000,2.43E+12,5.25219E+12,4.84595E+12
78,45000,6,2,29.1,40,315.41,1,140,120,170,4800,53619.7,12616.4,1600,14400,28900,99483.4681,64000,1728000,4913000,31378080.67,2560000,207360000,835210000,9896960425,102400000,24883200000,1.41986E+11,3.1216E+12
79,95000,9,2,29.1,20,347.59,2,200,120,170,2400,59090.3,6951.8,400,14400,28900,120818.8081,8000,1728000,4913000,41995409.51,160000,207360000,835210000,14597184391,3200000,24883200000,1.41986E+11,5.07384E+12
80,105000,7,2,29.1,20,372.86,3,200,120,170,2400,63386.2,7457.2,400,14400,28900,139024.5796,8000,1728000,4913000,51836704.75,160000,207360000,835210000,19327833733,3200000,24883200000,1.41986E+11,7.20658E+12
81,75000,9,2,29.1,20,408.79,5,200,180,230,3600,94021.7,8175.8,400,32400,52900,167109.2641,8000,5832000,12167000,68312596.07,160000,1049760000,2798410000,27925506148,3200000,1.88957E+11,6.43634E+11,1.14157E+13
82,60000,6,2,29.1,40,389.42,4,140,120,170,4800,66201.4,15576.8,1600,14400,28900,151647.9364,64000,1728000,4913000,59054739.39,2560000,207360000,835210000,22997096614,102400000,24883200000,1.41986E+11,8.95553E+12
83,105000,6,3.32,29.1,20,415.88,8,200,120,170,2400,70699.6,8317.6,400,14400,28900,172956.1744,8000,1728000,4913000,71929013.81,160000,207360000,835210000,29913838263,3200000,24883200000,1.41986E+11,1.24406E+13
84,95000,9,3.32,29.1,20,465.97,15,200,220,270,4400,125811.9,9319.4,400,48400,72900,217128.0409,8000,10648000,19683000,101175153.2,160000,2342560000,5314410000,47144586145,3200000,5.15363E+11,1.43489E+12,2.1968E+13
85,80000,7,3.32,29.1,30,491.23,11,180,120,170,3600,83509.1,14736.9,900,14400,28900,241306.9129,27000,1728000,4913000,118537194.8,810000,207360000,835210000,58229026213,24300000,24883200000,1.41986E+11,2.86038E+13
86,45000,6,3.32,29.1,40,434.01,4,140,120,170,4800,73781.7,17360.4,1600,14400,28900,188364.6801,64000,1728000,4913000,81752154.81,2560000,207360000,835210000,35481252709,102400000,24883200000,1.41986E+11,1.53992E+13
87,60000,6,3.32,29.1,35,491.92,3,140,180,230,6300,113141.6,17217.2,1225,32400,52900,241985.2864,42875,5832000,12167000,119037402.1,1500625,1049760000,2798410000,58556878834,52521875,1.88957E+11,6.43634E+11,2.88053E+13
88,85000,9,3.32,29.1,20,422.2,3,200,120,170,2400,71774,8444,400,14400,28900,178252.84,8000,1728000,4913000,75258349.05,160000,207360000,835210000,31774074968,3200000,24883200000,1.41986E+11,1.3415E+13
89,45000,6,3.32,29.1,40,349.23,8,140,190,240,7600,83815.2,13969.2,1600,36100,57600,121961.5929,64000,6859000,13824000,42592647.09,2560000,1303210000,3317760000,14874630143,102400000,2.4761E+11,7.96262E+11,5.19467E+12
90,45000,6,3.32,29.1,40,326.96,10,140,120,170,4800,55583.2,13078.4,1600,14400,28900,106902.8416,64000,1728000,4913000,34952953.09,2560000,207360000,835210000,11428217542,102400000,24883200000,1.41986E+11,3.73657E+12
91,45000,7,3.32,29.1,50,297.43,7,120,165,210,8250,62460.3,14871.5,2500,27225,44100,88464.6049,125000,4492125,9261000,26312027.44,6250000,741200625,1944810000,7825986320,312500000,1.22298E+11,4.0841E+11,2.32768E+12
92,45000,7,3.32,29.1,60,345.24,11,100,165,210,9900,72500.4,20714.4,3600,27225,44100,119190.6576,216000,4492125,9261000,41149382.63,12960000,741200625,1944810000,14206412859,777600000,1.22298E+11,4.0841E+11,4.90462E+12
93,45000,9,3.32,29.1,20,318.68,10,200,100,150,2000,47802,6373.6,400,10000,22500,101556.9424,8000,1000000,3375000,32364166.4,160000,100000000,506250000,10313812550,3200000,10000000000,75937500000,3.28681E+12
94,45000,9,3.32,29.1,20,292.31,9,200,165,210,3300,61385.1,5846.2,400,27225,44100,85445.1361,8000,4492125,9261000,24976467.73,160000,741200625,1944810000,7300871283,3200000,1.22298E+11,4.0841E+11,2.13412E+12
95,45000,9,3.32,29.1,20,320.98,10,200,120,170,2400,54566.6,6419.6,400,14400,28900,103028.1604,8000,1728000,4913000,33069978.93,160000,207360000,835210000,10614801835,3200000,24883200000,1.41986E+11,3.40714E+12
96,45000,6,3.32,29.1,20,359.9,16,220,165,210,3300,75579,7198,400,27225,44100,129528.01,8000,4492125,9261000,46617130.8,160000,741200625,1944810000,16777505375,3200000,1.22298E+11,4.0841E+11,6.03822E+12
97,45000,7,3.32,29.1,60,322.58,12,100,165,210,9900,67741.8,19354.8,3600,27225,44100,104057.8564,216000,4492125,9261000,33566983.32,12960000,741200625,1944810000,10828037479,777600000,1.22298E+11,4.0841E+11,3.49291E+12
98,50000,7,3.32,29.1,50,266.32,10,120,200,250,10000,66580,13316,2500,40000,62500,70926.3424,125000,8000000,15625000,18889103.51,6250000,1600000000,3906250000,5030546046,312500000,3.2E+11,9.76563E+11,1.33974E+12
99,80000,7,3.32,29.1,30,364.61,9,180,165,210,4950,76568.1,10938.3,900,27225,44100,132940.4521,27000,4492125,9261000,48471418.24,810000,741200625,1944810000,17673163805,24300000,1.22298E+11,4.0841E+11,6.44381E+12
100,70000,8,3.32,29.1,40,239.56,2,160,285,330,11400,79054.8,9582.4,1600,81225,108900,57388.9936,64000,23149125,35937000,13748107.31,2560000,6597500625,11859210000,3293496586,102400000,1.88029E+12,3.91354E+12,7.8899E+11
101,85000,9,3.32,29.1,20,90.27,2,200,240,290,4800,26178.3,1805.4,400,57600,84100,8148.6729,8000,13824000,24389000,735580.7027,160000,3317760000,7072810000,66400870.03,3200000,7.96262E+11,2.05111E+12,5994006538
102,105000,6,3.32,29.1,35,201.42,2,160,480,300,16800,60426,7049.7,1225,230400,90000,40570.0164,42875,110592000,27000000,8171612.703,1500625,53084160000,8100000000,1645926231,52521875,2.54804E+13,2.43E+12,3.31522E+11
103,40000,7,3.32,29.1,60,154.25,3,100,285,330,17100,50902.5,9255,3600,81225,108900,23793.0625,216000,23149125,35937000,3670079.891,12960000,6597500625,11859210000,566109823.1,777600000,1.88029E+12,3.91354E+12,87322440218
104,65000,8,3.32,29.1,40,169.96,3,160,210,260,8400,44189.6,6798.4,1600,44100,67600,28886.4016,64000,9261000,17576000,4909532.816,2560000,1944810000,4569760000,834424197.4,102400000,4.0841E+11,1.18814E+12,1.41819E+11
105,85000,9,3.32,29.1,20,173.93,6,200,165,210,3300,36525.3,3478.6,400,27225,44100,30251.6449,8000,4492125,9261000,5261668.597,160000,741200625,1944810000,915162019.2,3200000,1.22298E+11,4.0841E+11,1.59174E+11
106,60000,6,3.32,29.1,40,144.14,6,140,405,450,16200,64863,5765.6,1600,164025,202500,20776.3396,64000,66430125,91125000,2994701.59,2560000,26904200625,41006250000,431656287.2,102400000,1.08962E+13,1.84528E+13,62218937233
107,75000,7,3.32,29.1,30,164,6,180,200,250,6000,41000,4920,900,40000,62500,26896,27000,8000000,15625000,4410944,810000,1600000000,3906250000,723394816,24300000,3.2E+11,9.76563E+11,1.18637E+11
108,55000,8,3.32,29.1,40,108.26,2,160,285,330,11400,35725.8,4330.4,1600,81225,108900,11720.2276,64000,23149125,35937000,1268831.84,2560000,6597500625,11859210000,137363735,102400000,1.88029E+12,3.91354E+12,14870997951
109,95000,9,3.32,29.1,20,113.89,2,200,210,260,4200,29611.4,2277.8,400,44100,67600,12970.9321,8000,9261000,17576000,1477259.457,160000,1944810000,4569760000,168245079.5,3200000,4.0841E+11,1.18814E+12,19161432109
110,75000,7,3.32,29.1,30,183.35,1,180,330,380,9900,69673,5500.5,900,108900,144400,33617.2225,27000,35937000,54872000,6163717.745,810000,11859210000,20851360000,1130117649,24300000,3.91354E+12,7.92352E+12,2.07207E+11
111,85000,9,3.32,29.1,20,226.74,2,200,165,210,3300,47615.4,4534.8,400,27225,44100,51411.0276,8000,4492125,9261000,11656936.4,160000,741200625,1944810000,2643093759,3200000,1.22298E+11,4.0841E+11,5.99295E+11
112,85000,7,3.32,29.1,30,283.47,1,180,240,290,7200,82206.3,8504.1,900,57600,84100,80355.2409,27000,13824000,24389000,22778300.14,810000,3317760000,7072810000,6456964740,24300000,7.96262E+11,2.05111E+12,1.83036E+12
113,85000,6,3.32,29.1,35,261.69,2,140,360,410,12600,107292.9,9159.15,1225,129600,168100,68481.6561,42875,46656000,68921000,17920964.58,1500625,16796160000,28257610000,4689737222,52521875,6.04662E+12,1.15856E+13,1.22726E+12
114,85000,7,3.32,29.1,30,118.68,2,180,405,450,12150,53406,3560.4,900,164025,202500,14084.9424,27000,66430125,91125000,1671600.964,810000,26904200625,41006250000,198385602.4,24300000,1.08962E+13,1.84528E+13,23544403294
115,85000,8,3.32,29.1,40,33.53,1,160,450,500,18000,16765,1341.2,1600,202500,250000,1124.2609,64000,91125000,125000000,37696.46798,2560000,41006250000,62500000000,1263962.571,102400000,1.84528E+13,3.125E+13,42380665.01
116,85000,8,3.32,29.1,40,142.44,2,160,210,260,8400,37034.4,5697.6,1600,44100,67600,20289.1536,64000,9261000,17576000,2889987.039,2560000,1944810000,4569760000,411649753.8,102400000,4.0841E+11,1.18814E+12,58635390932
117,85000,7,3.32,29.1,30,81.5,0,180,220,270,6600,22005,2445,900,48400,72900,6642.25,27000,10648000,19683000,541343.375,810000,2342560000,5314410000,44119485.06,24300000,5.15363E+11,1.43489E+12,3595738033
118,85000,8,3.32,29.1,40,88.28,2,160,285,330,11400,29132.4,3531.2,1600,81225,108900,7793.3584,64000,23149125,35937000,687997.6796,2560000,6597500625,11859210000,60736435.15,102400000,1.88029E+12,3.91354E+12,5361812495
119,100000,6,3.32,29.1,20,199.4,5,220,180,230,3600,45862,3988,400,32400,52900,39760.36,8000,5832000,12167000,7928215.784,160000,1049760000,2798410000,1580886227,3200000,1.88957E+11,6.43634E+11,3.15229E+11
