ID,Household income,Household size,Rainfall,Ave temp wet,LST wet,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay
83,105000,6,306.69,28.4,39.26,20,415.88,8,200,120,170
84,95000,9,306.69,28.4,40.4,20,465.97,15,200,220,270
85,80000,7,306.69,28.4,40.22,30,491.23,11,180,120,170
86,45000,6,306.69,28.4,39.34,40,434.01,4,140,120,170
87,60000,6,306.69,28.4,37.9,35,491.92,3,140,180,230
88,85000,9,306.69,28.4,36.99,20,422.2,3,200,120,170
89,45000,6,306.69,28.4,37.11,40,349.23,8,140,190,240
90,45000,6,306.69,28.4,37.26,40,326.96,10,140,120,170
91,45000,7,306.69,28.4,37.16,50,297.43,7,120,165,210
92,45000,7,306.69,28.4,40.08,60,345.24,11,100,165,210
93,45000,9,306.69,28.4,39.51,20,318.68,10,200,100,150
94,45000,9,306.69,28.4,39.65,20,292.31,9,200,165,210
95,45000,9,306.69,28.4,40.06,20,320.98,10,200,120,170
96,45000,6,306.69,28.4,39.51,20,359.9,16,220,165,210
97,45000,7,306.69,28.4,38.79,60,322.58,12,100,165,210
98,50000,7,306.69,28.4,38.73,50,266.32,10,120,200,250
99,80000,7,306.69,28.4,38.07,30,364.61,9,180,165,210
100,70000,8,306.69,28.4,38.13,40,239.56,2,160,285,330
101,85000,9,306.69,28.4,38.85,20,90.27,2,200,240,290
102,105000,6,306.69,28.4,38.61,35,201.42,2,160,480,300
103,40000,7,306.69,28.4,38.83,60,154.25,3,100,285,330
104,65000,8,306.69,28.4,39.07,40,169.96,3,160,210,260
105,85000,9,306.69,28.4,38.62,20,173.93,6,200,165,210
106,60000,6,306.69,28.4,38.78,40,144.14,6,140,405,450
107,75000,7,306.69,28.4,38.71,30,164,6,180,200,250
108,55000,8,306.69,28.4,38.74,40,108.26,2,160,285,330
109,95000,9,306.69,28.4,38.2,20,113.89,2,200,210,260
110,75000,7,306.69,28.4,37.21,30,183.35,1,180,330,380
111,85000,9,306.69,28.4,36.83,20,226.74,2,200,165,210
112,85000,7,306.69,28.4,36.52,30,283.47,1,180,240,290
113,85000,6,306.69,28.4,36.64,35,261.69,2,140,360,410
114,85000,7,306.69,28.4,38.78,30,118.68,2,180,405,450
115,85000,8,306.69,28.4,39.45,40,33.53,1,160,450,500
116,85000,8,306.69,28.4,39.56,40,142.44,2,160,210,260
117,85000,7,306.69,28.4,40.13,30,81.5,0,180,220,270
118,85000,8,306.69,28.4,38.74,40,88.28,2,160,285,330
119,100000,6,306.69,28.4,37.24,20,199.4,5,220,180,230
120,80000,9,306.69,28.4,38.24,20,172,7,200,165,210
121,40000,7,306.69,28.4,39.77,45,147.49,3,100,285,330
122,50000,7,306.69,28.4,40.02,50,57.01,1,120,360,410
123,100000,6,306.69,28.4,39.84,20,56.75,2,220,480,300
124,100000,7,306.69,28.4,38.64,20,145.91,8,220,220,270
125,40000,7,306.69,28.4,39.42,60,55.01,1,100,405,450
126,100000,6,306.69,28.4,39.36,20,88.62,4,220,350,400
127,60000,6,306.69,28.4,38.17,40,97.74,3,140,480,300
128,40000,7,306.69,28.4,39.1,60,32.02,1,100,450,500
129,95000,9,306.69,28.4,38.57,20,79.88,0,200,240,290
130,45000,6,306.69,28.4,39.04,40,95.52,4,140,480,300
131,85000,7,306.69,28.4,38.42,30,56.01,1,180,405,450
132,60000,6,306.69,28.4,38.8,40,94.37,1,140,450,500
133,75000,7,306.69,28.4,38.68,30,23.85,1,180,480,300
134,80000,7,306.69,28.4,38.38,30,74.17,1,180,300,350
135,95000,9,306.69,28.4,38.59,20,79.2,1,220,240,290
136,95000,9,306.69,28.4,38.51,20,30.59,1,200,330,380
