ID,Household income,Household size,Rainfall,Ave temp dry,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay,tA,Wd,td,t2,A2,W2,d2
59,75000,6,2,29.1,40,54.04,2,160,330,380,13200,20535.2,2161.6,1600,108900,144400,2920.3216
60,75000,6,2,29.1,35,37.12,1,140,280,330,9800,12249.6,1299.2,1225,78400,108900,1377.8944
61,80000,7,2,29.1,30,77.16,2,180,210,260,6300,20061.6,2314.8,900,44100,67600,5953.6656
62,40000,7,2,29.1,60,118.44,2,100,165,210,9900,24872.4,7106.4,3600,27225,44100,14028.0336
63,75000,7,2,29.1,30,176.82,3,180,165,210,4950,37132.2,5304.6,900,27225,44100,31265.3124
64,40000,7,2,29.1,50,235.36,6,120,100,150,5000,35304,11768,2500,10000,22500,55394.3296
65,45000,6,2,29.1,40,254.87,7,140,165,210,6600,53522.7,10194.8,1600,27225,44100,64958.7169
66,90000,9,2,29.1,20,296.1,9,220,165,210,3300,62181,5922,400,27225,44100,87675.21
67,50000,7,2,29.1,50,207.2,5,120,200,250,10000,51800,10360,2500,40000,62500,42931.84
68,60000,6,2,29.1,40,238.32,6,140,165,210,6600,50047.2,9532.8,1600,27225,44100,56796.4224
69,60000,7,2,29.1,50,197.28,5,120,165,210,8250,41428.8,9864,2500,27225,44100,38919.3984
70,60000,9,2,29.1,20,228.64,6,200,310,360,6200,82310.4,4572.8,400,96100,129600,52276.2496
71,60000,7,2,29.1,60,237.98,6,100,165,210,9900,49975.8,14278.8,3600,27225,44100,56634.4804
72,60000,8,2,29.1,40,197.31,5,160,165,210,6600,41435.1,7892.4,1600,27225,44100,38931.2361
73,60000,6,2,29.1,40,209.4,5,140,120,170,4800,35598,8376,1600,14400,28900,43848.36
74,60000,7,2,29.1,30,261.01,6,180,280,330,8400,86133.3,7830.3,900,78400,108900,68126.2201
75,65000,8,2,29.1,40,234.85,6,160,120,170,4800,39924.5,9394,1600,14400,28900,55154.5225
76,70000,7,2,29.1,30,281.32,4,180,120,170,3600,47824.4,8439.6,900,14400,28900,79140.9424
77,40000,7,2,29.1,60,344.41,0,100,300,350,18000,120543.5,20664.6,3600,90000,122500,118618.2481
78,45000,6,2,29.1,40,315.41,1,140,120,170,4800,53619.7,12616.4,1600,14400,28900,99483.4681
79,95000,9,2,29.1,20,347.59,2,200,120,170,2400,59090.3,6951.8,400,14400,28900,120818.8081
80,105000,7,2,29.1,20,372.86,3,200,120,170,2400,63386.2,7457.2,400,14400,28900,139024.5796
81,75000,9,2,29.1,20,408.79,5,200,180,230,3600,94021.7,8175.8,400,32400,52900,167109.2641
82,60000,6,2,29.1,40,389.42,4,140,120,170,4800,66201.4,15576.8,1600,14400,28900,151647.9364
83,105000,6,3.32,29.1,20,415.88,8,200,120,170,2400,70699.6,8317.6,400,14400,28900,172956.1744
84,95000,9,3.32,29.1,20,465.97,15,200,220,270,4400,125811.9,9319.4,400,48400,72900,217128.0409
85,80000,7,3.32,29.1,30,491.23,11,180,120,170,3600,83509.1,14736.9,900,14400,28900,241306.9129
86,45000,6,3.32,29.1,40,434.01,4,140,120,170,4800,73781.7,17360.4,1600,14400,28900,188364.6801
87,60000,6,3.32,29.1,35,491.92,3,140,180,230,6300,113141.6,17217.2,1225,32400,52900,241985.2864
88,85000,9,3.32,29.1,20,422.2,3,200,120,170,2400,71774,8444,400,14400,28900,178252.84
89,45000,6,3.32,29.1,40,349.23,8,140,190,240,7600,83815.2,13969.2,1600,36100,57600,121961.5929
90,45000,6,3.32,29.1,40,326.96,10,140,120,170,4800,55583.2,13078.4,1600,14400,28900,106902.8416
91,45000,7,3.32,29.1,50,297.43,7,120,165,210,8250,62460.3,14871.5,2500,27225,44100,88464.6049
92,45000,7,3.32,29.1,60,345.24,11,100,165,210,9900,72500.4,20714.4,3600,27225,44100,119190.6576
93,45000,9,3.32,29.1,20,318.68,10,200,100,150,2000,47802,6373.6,400,10000,22500,101556.9424
94,45000,9,3.32,29.1,20,292.31,9,200,165,210,3300,61385.1,5846.2,400,27225,44100,85445.1361
95,45000,9,3.32,29.1,20,320.98,10,200,120,170,2400,54566.6,6419.6,400,14400,28900,103028.1604
96,45000,6,3.32,29.1,20,359.9,16,220,165,210,3300,75579,7198,400,27225,44100,129528.01
97,45000,7,3.32,29.1,60,322.58,12,100,165,210,9900,67741.8,19354.8,3600,27225,44100,104057.8564
98,50000,7,3.32,29.1,50,266.32,10,120,200,250,10000,66580,13316,2500,40000,62500,70926.3424
99,80000,7,3.32,29.1,30,364.61,9,180,165,210,4950,76568.1,10938.3,900,27225,44100,132940.4521
100,70000,8,3.32,29.1,40,239.56,2,160,285,330,11400,79054.8,9582.4,1600,81225,108900,57388.9936
101,85000,9,3.32,29.1,20,90.27,2,200,240,290,4800,26178.3,1805.4,400,57600,84100,8148.6729
102,105000,6,3.32,29.1,35,201.42,2,160,480,300,16800,60426,7049.7,1225,230400,90000,40570.0164
103,40000,7,3.32,29.1,60,154.25,3,100,285,330,17100,50902.5,9255,3600,81225,108900,23793.0625
104,65000,8,3.32,29.1,40,169.96,3,160,210,260,8400,44189.6,6798.4,1600,44100,67600,28886.4016
105,85000,9,3.32,29.1,20,173.93,6,200,165,210,3300,36525.3,3478.6,400,27225,44100,30251.6449
106,60000,6,3.32,29.1,40,144.14,6,140,405,450,16200,64863,5765.6,1600,164025,202500,20776.3396
107,75000,7,3.32,29.1,30,164,6,180,200,250,6000,41000,4920,900,40000,62500,26896
108,55000,8,3.32,29.1,40,108.26,2,160,285,330,11400,35725.8,4330.4,1600,81225,108900,11720.2276
109,95000,9,3.32,29.1,20,113.89,2,200,210,260,4200,29611.4,2277.8,400,44100,67600,12970.9321
110,75000,7,3.32,29.1,30,183.35,1,180,330,380,9900,69673,5500.5,900,108900,144400,33617.2225
111,85000,9,3.32,29.1,20,226.74,2,200,165,210,3300,47615.4,4534.8,400,27225,44100,51411.0276
112,85000,7,3.32,29.1,30,283.47,1,180,240,290,7200,82206.3,8504.1,900,57600,84100,80355.2409
113,85000,6,3.32,29.1,35,261.69,2,140,360,410,12600,107292.9,9159.15,1225,129600,168100,68481.6561
114,85000,7,3.32,29.1,30,118.68,2,180,405,450,12150,53406,3560.4,900,164025,202500,14084.9424
115,85000,8,3.32,29.1,40,33.53,1,160,450,500,18000,16765,1341.2,1600,202500,250000,1124.2609
116,85000,8,3.32,29.1,40,142.44,2,160,210,260,8400,37034.4,5697.6,1600,44100,67600,20289.1536
117,85000,7,3.32,29.1,30,81.5,0,180,220,270,6600,22005,2445,900,48400,72900,6642.25
118,85000,8,3.32,29.1,40,88.28,2,160,285,330,11400,29132.4,3531.2,1600,81225,108900,7793.3584
119,100000,6,3.32,29.1,20,199.4,5,220,180,230,3600,45862,3988,400,32400,52900,39760.36
120,80000,9,3.32,29.1,20,172,7,200,165,210,3300,36120,3440,400,27225,44100,29584
121,40000,7,3.32,29.1,45,147.49,3,100,285,330,12825,48671.7,6637.05,2025,81225,108900,21753.3001
122,50000,7,3.32,29.1,50,57.01,1,120,360,410,18000,23374.1,2850.5,2500,129600,168100,3250.1401
